x,y,sigma_y
0.153758,19.493556,2.789351
0.375297,17.683971,1.503345
0.602891,18.718544,1.171267
0.724379,8.408326,1.155569
1.341272,21.113601,1.109353
1.608712,45.202566,2.684010
1.792170,21.273538,2.485301
2.080935,21.913150,2.804488
2.377254,27.551262,2.037503
2.808145,26.520676,1.235089
3.064843,23.755385,1.416733
3.114931,26.992821,2.912484
3.121834,30.124511,2.536118
3.165798,28.310924,2.960648
3.944593,48.512991,1.428034
4.429943,29.437291,2.717552
4.800123,33.542881,1.504538
5.418184,35.141205,2.779361
5.487995,35.350209,2.025800
6.251115,36.218590,2.948393
6.252815,34.943728,1.422744
6.634275,37.599402,2.260845
6.741141,37.595895,2.246208
7.202146,35.609810,2.059697
7.206746,0.784177,1.926746
7.422847,43.065972,2.482452
9.470868,58.656419,2.546644
9.701342,46.251805,2.018859
9.747361,100.594978,2.826186
9.884481,46.702999,1.233576
