x,y,sigma_y
0.573418,47.560031,1.718707
0.856350,46.684525,2.039601
0.912097,50.527545,1.878574
1.146698,47.904164,1.996357
1.319133,65.231929,2.119543
1.719880,51.173889,2.031728
2.210822,50.129980,2.538291
2.688868,55.209047,2.058617
3.326167,57.552653,1.174155
4.066121,62.160312,2.954991
4.229804,60.301903,2.495177
4.415464,63.047026,2.445586
4.804815,62.527061,2.046458
4.997602,68.006746,2.812832
5.430176,63.979220,1.883232
5.557755,62.881281,2.633287
6.218331,69.119036,1.638398
6.336651,61.476069,2.132649
6.803326,67.121930,1.345441
6.997576,69.889405,1.450315
7.099930,70.200275,2.710428
7.266681,72.231235,1.404263
7.391137,70.726034,1.353476
7.625913,71.355282,2.675978
7.656786,61.133609,1.083739
7.815406,69.968455,2.539398
8.415133,78.391026,2.893334
8.932457,76.983405,1.195773
9.374830,78.403967,1.777028
9.981817,80.925163,1.987341
