x,y,sigma_y
0.804009,38.820684,1.238465
0.994818,21.401709,1.131683
1.107960,22.208906,2.935150
1.607595,24.220546,2.312447
1.776597,24.588940,1.884564
1.782977,23.253552,1.628108
2.219520,24.740754,1.057075
2.293025,22.222661,2.405115
2.337992,25.127207,2.303109
2.564075,26.659811,1.839725
2.747229,24.945395,2.301849
3.252933,29.284094,1.003184
3.445689,33.123317,2.188126
3.569169,32.419998,2.821411
4.069473,31.103794,1.003531
4.279331,37.746261,2.541581
4.486790,37.005486,2.920780
4.752310,31.772687,1.995654
4.888248,28.656523,2.185070
4.890704,34.938856,2.521555
5.619687,38.758346,2.992327
5.745642,38.054317,1.793903
6.189415,-5.848328,2.093071
6.319135,38.355752,2.233138
7.599278,41.715013,1.122060
7.941179,-3.279134,1.929375
8.063270,48.944144,1.325295
9.728344,49.952028,1.335430
9.772166,50.174174,1.447210
9.848211,49.218473,2.451519
