x,y,sigma_y
0.488214,48.615485,1.895806
0.955241,49.086456,1.087955
1.458586,51.854266,1.345908
1.913667,48.400588,2.887770
2.265029,51.181223,2.984726
2.287628,51.217732,1.473849
3.599113,58.819692,1.721208
4.340703,49.148282,2.407851
4.394215,53.879728,1.897786
4.853836,23.636673,2.568755
5.209800,50.686297,1.355749
5.543268,46.559359,1.687586
5.865855,56.948653,1.691741
6.191687,58.319596,1.339716
6.550625,57.386858,2.937758
6.767119,57.205336,2.146654
6.839791,61.325506,2.753723
6.864266,59.560788,1.074013
7.482590,62.853539,2.963588
8.395297,57.959211,2.752044
8.444076,57.421394,2.553816
8.515071,62.760766,2.872542
8.620952,64.711970,2.532295
8.757903,65.728287,2.676941
8.822584,59.106607,2.268161
9.175089,63.856702,1.560617
9.287815,59.555917,2.268571
9.531457,59.818828,2.998857
9.591035,59.198691,2.118771
9.951930,38.726994,2.770753
