x,y,sigma_y
0.318746,13.926178,1.775311
0.534315,13.096016,1.457211
1.277705,15.727294,1.373531
1.455025,24.241062,1.923099
1.544006,18.561166,2.412397
2.380938,18.726360,1.504343
2.413725,20.762207,2.364856
2.727257,19.694328,2.244792
2.774382,22.047688,2.921455
3.026658,18.055309,1.667315
3.138202,18.807679,2.578036
3.163970,37.370674,1.900863
3.433917,16.250089,2.705369
3.825132,29.859113,1.915758
3.827535,22.337643,1.403188
4.770388,52.869567,2.246172
4.777056,26.202663,1.819615
4.926553,24.680774,1.806800
4.944331,33.695418,1.027546
4.959520,94.616533,2.889614
5.487407,29.427879,2.045310
5.588998,27.730415,2.034247
6.091120,30.536120,1.669050
6.107406,31.690793,1.930570
7.554078,32.295595,2.733954
7.789214,-15.735149,2.098372
8.641494,39.210987,1.325169
8.769532,37.388888,1.693662
9.505218,40.213210,1.299526
9.766936,41.883666,2.469875
