x,y,sigma_y
0.287824,34.155595,1.437013
0.476490,36.799530,1.345566
1.049263,34.943605,2.039848
1.290245,34.904281,1.489808
1.558420,37.662503,2.480967
2.177769,37.636325,1.278275
2.447325,37.048452,1.177784
2.573519,37.865657,1.661417
3.064251,61.377706,1.192477
3.543921,43.674625,2.821344
3.733077,39.485469,1.139424
4.126968,40.206375,1.743481
5.085324,40.172630,2.222980
5.171315,42.328102,2.827331
5.371349,43.084451,1.571958
5.716724,38.383319,2.773096
5.767572,43.092753,1.353057
5.768656,43.460880,2.799529
6.447307,43.732743,2.284493
7.128061,46.494862,2.047306
7.325606,46.661271,1.511798
7.596840,49.455253,2.412566
7.914520,46.698974,1.798198
8.008405,45.020360,2.971586
8.890835,5.006871,2.102734
8.917909,48.207480,2.954261
9.696955,46.056880,2.083046
9.708108,47.601809,2.720128
9.840913,50.037935,2.872774
9.959719,47.812659,1.962998
