x,y,sigma_y
0.778733,47.463068,1.530062
1.298944,49.537735,1.969496
1.477226,42.730410,2.348530
1.536112,49.201389,2.456803
1.555843,49.680077,2.440196
1.593626,50.013179,2.969421
1.899562,45.077559,2.860631
1.925909,52.703618,1.482603
2.263832,50.387342,1.238224
2.562129,51.585506,1.097060
2.755414,53.851549,1.085500
3.875376,69.270915,1.615800
3.908388,57.571685,2.569853
3.927440,60.121146,2.408855
3.935321,58.507480,2.147067
3.975777,56.087875,2.507979
4.166909,54.477330,2.500846
4.263272,58.332401,1.651062
4.296099,57.931539,1.292994
4.389608,57.775919,2.324005
4.677510,56.740387,1.813039
5.268341,61.343244,1.414565
5.646612,62.187909,2.008234
5.753434,54.003478,1.067622
6.580323,69.973073,2.906656
6.927276,65.515600,1.137430
7.126434,65.875138,2.896672
7.235800,61.439817,2.658153
7.593580,67.881260,1.732280
8.734805,73.124136,1.048531
