x,y,sigma_y
0.049716,38.515692,1.918652
0.064210,40.656337,1.521895
1.057428,40.833072,1.087272
1.440335,40.519117,2.395300
1.669348,42.787644,2.726847
2.036739,43.009183,2.541186
2.047807,42.870303,1.110284
2.742243,64.144118,1.254689
2.851784,42.277143,2.262633
2.944580,3.183302,2.352324
3.300458,44.274665,1.681300
3.504486,45.451636,2.049086
3.857418,48.694781,1.710599
3.964287,47.826464,2.172622
4.071147,49.797732,1.503700
4.296699,45.066116,1.952727
5.363547,50.167843,2.967099
5.722698,49.198592,1.313929
5.885083,51.854430,1.616077
5.900498,52.852998,1.314490
5.945700,48.462323,1.971446
6.580844,52.786986,1.222361
7.525658,53.945721,1.132803
7.980632,80.754549,1.539528
8.016004,54.513405,1.550040
8.150331,47.761285,2.167329
8.236965,54.649867,2.290489
8.797242,54.799007,2.918448
9.378878,54.626497,2.624312
9.476696,54.461694,1.913274
