x,y,sigma_y
0.037226,13.476973,2.050193
0.271975,9.448589,2.927110
0.327469,11.065066,2.524724
0.622915,11.706473,1.119728
0.699492,12.430668,1.878780
0.700732,9.830445,2.311942
0.741537,11.991152,2.441694
1.213698,18.663904,1.141259
1.679563,18.450078,2.368746
2.089238,17.641838,1.208042
2.558878,23.011425,1.437169
2.627561,18.126253,1.794776
3.408945,21.626034,1.025268
3.430344,23.332862,2.595004
3.486204,41.341361,1.335289
3.764668,26.519701,2.486574
4.312523,23.217200,2.471768
4.496521,27.325124,1.243828
4.576899,24.738578,1.737554
4.676793,28.984785,2.226372
5.682849,31.461057,2.796335
6.402927,33.001150,1.587275
6.910795,37.992060,2.543143
7.787860,38.235441,1.229556
8.479018,38.285543,2.943897
8.635530,3.735918,1.982295
8.693916,41.212954,2.414865
9.407577,42.299519,1.747957
9.975396,46.515900,1.945958
9.984039,45.568090,1.692315
