x,y,sigma_y
0.245932,19.736541,1.659974
0.414977,20.063839,1.271949
1.106734,26.113142,2.403007
1.854703,26.557923,1.724460
1.893282,21.771405,1.567413
2.263874,26.248156,2.385760
2.902532,25.241004,2.008745
2.935527,9.026546,1.185440
3.610038,29.886320,1.064244
3.715013,31.915670,2.981081
3.895388,30.849877,1.175833
3.914068,31.025220,2.606876
4.015214,23.192250,2.662204
4.031969,31.730373,1.677306
4.505119,29.278147,2.725889
4.671554,33.582135,1.055949
4.974914,30.985658,2.122323
5.336209,36.750745,2.241844
6.100071,36.933418,1.610982
6.404392,39.378644,1.297331
6.550198,41.409386,2.109533
6.603990,39.805055,2.750598
6.607799,43.137198,2.099842
6.911806,22.119770,1.041580
7.933688,46.871413,1.357555
7.995300,50.680655,2.906763
8.256461,42.805675,2.634517
9.233189,48.212654,1.731144
9.568370,54.961020,2.283271
9.948097,54.678928,2.001405
