x,y,sigma_y
0.588506,44.426709,2.447644
0.761937,45.323979,1.116697
1.208314,25.279019,1.973463
1.304794,49.010110,2.858921
1.325538,71.079049,2.378764
1.699727,44.037134,1.636065
1.863821,46.734332,2.940847
2.682888,52.944864,1.974382
3.038484,52.234891,2.592729
3.719716,54.758572,2.059663
3.772645,57.191452,2.314836
4.835524,56.244440,2.248251
4.916176,58.117203,1.629856
5.304060,60.760785,1.936780
6.317941,61.709527,2.196774
6.345914,102.388187,2.125374
6.749395,58.653078,2.676158
6.899268,68.239123,2.570581
7.203904,65.704047,1.930675
8.026329,68.428819,1.532164
8.034383,68.713039,1.191990
8.114903,46.901664,1.737665
8.701524,70.592811,2.393770
8.788292,68.941824,1.745096
8.955863,74.791954,1.978073
9.065936,73.500244,1.306145
9.165845,71.803721,1.918290
9.185856,70.499509,2.719399
9.275509,74.202332,1.600907
9.558713,70.612174,2.576504
