x,y,sigma_y
0.001213,14.057611,1.614684
0.017993,11.722660,2.086582
0.348294,15.347743,1.993079
0.351371,15.800230,2.351932
0.681518,18.851720,2.463132
1.303911,16.021732,1.510517
1.389273,15.807414,1.251401
2.966284,21.377087,2.538132
3.534143,21.346818,2.853462
3.780945,16.331758,2.920984
3.983739,20.117686,1.702293
4.943791,17.095373,2.257074
5.121973,23.474314,1.959940
5.892827,23.124369,1.170914
5.996487,25.174651,1.452793
6.856000,24.790812,1.746836
6.875860,21.996694,2.781300
6.943413,25.216675,1.070554
7.305050,27.559281,2.806448
7.369531,23.327373,1.092109
7.395658,23.466956,2.696532
7.413559,29.563003,2.913274
8.110088,-29.158413,2.663405
8.205560,39.515937,1.327439
8.390860,29.172838,1.447881
8.499253,32.488454,2.513762
8.625207,36.883458,2.317295
8.933070,25.903961,2.697052
9.306185,52.546624,1.814374
9.923287,28.831954,2.953456
