x,y,sigma_y
0.487314,55.419366,2.991491
0.960034,33.738053,2.443019
1.135998,32.622237,2.203118
2.306979,35.231133,2.560943
2.625369,36.218631,2.016393
3.440332,29.598629,2.966540
3.776794,40.311076,1.163561
5.148040,41.937677,1.335834
5.242861,40.441734,1.723542
5.447632,42.803679,1.448037
5.673999,39.643428,1.202986
5.678951,44.133852,2.658910
5.755803,40.714672,2.353976
6.047125,45.183489,1.854518
6.098580,46.844159,1.447132
6.333101,46.553468,1.393882
6.416949,44.151494,1.214864
6.553878,49.694366,2.259133
7.144730,47.293822,2.436453
7.149146,46.841773,1.663673
7.154990,46.351848,1.628834
7.241168,48.777317,2.019329
7.783665,46.718484,2.824516
8.033226,49.943694,2.467464
8.211665,45.384648,2.904025
8.662348,50.230025,1.250302
9.351330,54.112087,1.923769
9.417076,53.017121,2.768231
9.447187,45.547307,2.999137
9.854479,50.802895,2.919715
