x,y,sigma_y
0.341287,38.853583,1.765363
1.180654,35.848484,2.135233
1.878285,38.792400,1.646273
1.907087,34.661150,2.176832
2.894646,50.630654,1.926572
3.480186,42.999492,2.147389
3.555654,41.501015,2.098638
3.561090,42.238696,2.280803
3.837913,30.351543,2.992890
4.198885,39.789062,2.576350
4.850544,46.514392,2.850037
4.868808,43.118595,1.172054
5.144309,45.848287,1.221694
5.192744,45.711272,1.815733
5.209367,45.930162,2.572440
5.826648,42.476860,2.560833
5.841449,43.759599,2.928282
5.965279,46.304735,1.491409
6.125500,49.122078,2.567278
6.329348,58.209514,1.244100
6.590929,43.991960,2.218811
7.102336,49.153970,1.918168
7.388932,17.250038,2.201979
7.468870,52.019466,1.389037
7.792839,57.146093,1.604302
8.495456,54.120876,1.779733
8.568406,48.038898,2.701516
9.340134,52.600521,2.748776
9.572285,56.797741,1.510948
9.714366,33.803026,2.327457
