x,y,sigma_y
0.271527,32.574801,2.261125
0.727720,34.300297,1.501426
0.913779,33.759452,2.112426
0.972452,33.971458,1.669356
1.481713,36.775754,1.557512
1.878934,49.331070,2.159851
2.499320,35.597248,2.945532
3.092595,21.297209,2.149600
3.541613,42.158905,2.071038
4.164373,40.327615,1.176806
4.856371,45.408691,2.796095
4.987147,45.720844,1.530395
5.175944,34.131689,2.091534
5.199822,47.094109,1.655660
5.573742,38.820129,2.869897
5.681120,45.108867,2.244298
5.935267,51.015188,2.803656
6.504251,50.806076,1.185528
6.718682,52.804474,2.302382
6.922607,50.086850,2.014608
7.023305,54.602176,2.876014
7.136555,54.231559,1.459298
7.192665,55.619435,1.640959
7.317785,50.879081,1.694723
7.514640,53.742005,2.140891
7.854648,56.162498,2.742948
8.388806,59.672452,2.670674
9.168031,58.274450,2.379059
9.810505,59.279231,1.028641
9.975624,110.239949,1.504991
