x,y,sigma_y
0.384188,23.987120,2.495266
0.915340,25.518849,2.024494
0.973505,26.862894,1.185882
1.371533,26.176799,2.396877
1.486664,32.314730,1.655842
1.805885,28.930121,1.164986
2.011152,32.743094,2.813577
2.094323,30.134666,1.705639
2.873002,28.029113,2.365607
3.508990,32.471789,1.554009
3.816571,33.338136,1.900282
3.902953,33.748661,2.653728
4.863562,37.512913,1.265507
4.880386,34.738202,1.718262
5.067860,37.589009,2.472329
5.192872,70.945692,1.209995
5.196399,39.718012,1.883480
5.561544,39.831527,2.445609
5.705460,18.269317,2.228644
6.137493,40.598927,1.430534
6.248436,37.516532,1.032994
6.445204,38.861558,1.082408
7.300408,42.826827,1.386084
7.347873,43.015304,1.229963
7.565636,44.354105,2.601886
7.781293,43.429939,1.088301
8.936766,46.636864,1.427652
9.001086,48.605957,2.527959
9.621569,48.704514,2.670555
9.815106,48.574154,1.615146
