x,y,sigma_y
0.662071,41.368941,1.169241
1.952650,31.428787,1.288252
2.318954,28.127039,2.034543
2.502326,28.320901,2.812013
3.028234,30.972219,2.622566
3.180394,35.674524,2.458082
3.231336,35.116025,2.399359
3.284628,34.268877,2.358214
3.863072,35.445662,2.695893
3.980871,40.929654,2.972375
4.000299,39.944560,2.693179
4.296477,36.490151,1.173840
4.531086,38.995023,2.241515
4.580821,38.995511,2.682485
5.869540,44.572505,1.937158
6.279115,43.406299,1.671105
6.514630,44.129124,1.657761
7.278955,38.758654,2.210843
7.342070,49.080034,1.355813
7.657510,59.624651,1.821712
7.684803,53.214855,2.782008
8.018234,47.342196,1.957135
8.071216,51.443550,1.081017
8.827061,53.613984,1.588879
9.050117,53.009272,1.910727
9.076590,22.826537,2.931126
9.102210,56.173451,2.572806
9.190351,5.231895,2.494453
9.336428,52.976004,1.692198
9.934654,64.088153,2.960518
