x,y,sigma_y
0.002556,32.854363,2.598993
0.108342,39.629421,2.665560
0.336907,35.803217,2.757728
0.726326,37.602260,1.479095
1.007156,36.786551,2.144997
1.185109,39.117330,2.020757
1.462885,41.528858,2.022183
1.691423,41.830805,1.613247
1.701229,42.246468,1.947195
1.849294,40.864333,1.026204
2.218765,40.363194,2.701372
2.937204,51.133753,2.604663
3.082393,45.814517,1.430854
3.465962,49.882113,2.071827
3.757338,52.280083,1.880604
4.290290,8.489329,1.920159
4.509553,51.135923,2.638230
5.222312,53.790104,1.028239
5.766617,57.211319,1.212090
6.136615,56.843665,2.776279
6.224511,57.365774,1.533953
6.512827,64.926543,1.757054
7.272106,58.932434,1.351157
7.658799,63.058256,2.975415
7.855685,63.812976,1.046676
8.423295,66.767370,1.306304
8.861130,69.039400,2.767177
9.314252,70.996176,2.597275
9.326806,68.596469,2.759019
9.773310,70.771541,2.028869
