x,y,sigma_y
0.199411,15.270177,1.725619
0.318106,28.159070,1.139430
0.673603,20.985037,1.656334
1.511005,19.895424,1.882575
1.603398,18.312076,2.728051
2.004004,24.196309,1.714933
2.089955,22.428147,2.826425
2.231233,22.246508,1.301631
2.241889,22.475376,2.977306
2.430730,21.319107,1.486316
2.772980,22.242039,2.384001
2.899752,21.726806,1.829628
4.429546,23.048461,2.475275
4.574580,0.428035,2.694361
5.264511,31.077374,2.796787
5.351254,31.197944,1.916069
5.399760,36.038307,2.611781
5.487696,32.629852,1.323642
5.622907,19.801383,1.721064
5.879200,32.087323,2.912057
5.904666,32.943849,1.429623
5.961603,35.027240,1.966040
7.225139,37.171386,2.744523
7.293786,45.118259,2.823797
8.540787,42.211270,2.148883
9.202792,43.567611,2.707257
9.597925,43.970835,1.860110
9.668831,45.825342,2.483215
9.781477,43.926434,2.524200
9.995015,46.313615,1.652849
