# alert ephemeris (community pipeline, approximate): P_alert = 7.01 d, t0_alert = 1.2 d
t_days,flux_rel,sigma_flux
0.000000,0.997207,0.001191
0.020833,1.000158,0.001191
0.041667,0.999771,0.001191
0.062500,0.999692,0.001191
0.083333,0.998454,0.001191
0.104167,0.999360,0.001191
0.125000,1.001965,0.001191
0.145833,0.999966,0.001191
0.166667,1.000060,0.001191
0.187500,0.997575,0.001191
0.208333,0.997374,0.001191
0.229167,1.000035,0.001191
0.250000,0.997190,0.001191
0.270833,0.996859,0.001191
0.291667,0.998065,0.001191
0.312500,0.997152,0.001191
0.333333,0.998985,0.001191
0.354167,0.998712,0.001191
0.375000,0.999516,0.001191
0.395833,1.000131,0.001191
0.416667,0.997380,0.001191
0.437500,0.997423,0.001191
0.458333,0.998463,0.001191
0.479167,0.998420,0.001191
0.500000,0.997499,0.001191
0.520833,0.998209,0.001191
0.541667,0.998866,0.001191
0.562500,0.997469,0.001191
0.583333,0.999126,0.001191
0.604167,0.997167,0.001191
0.625000,0.998493,0.001191
0.645833,0.996883,0.001191
0.666667,0.997493,0.001191
0.687500,0.998111,0.001191
0.708333,0.996563,0.001191
0.729167,0.999706,0.001191
0.750000,0.998809,0.001191
0.770833,0.995553,0.001191
0.791667,0.997798,0.001191
0.812500,0.998504,0.001191
0.833333,0.995781,0.001191
0.854167,0.998510,0.001191
0.875000,0.996500,0.001191
0.895833,0.996478,0.001191
0.916667,0.994675,0.001191
0.937500,0.996184,0.001191
0.958333,0.997891,0.001191
0.979167,0.995310,0.001191
1.000000,0.997598,0.001191
1.020833,0.999016,0.001191
1.041667,0.999366,0.001191
1.062500,0.999259,0.001191
1.083333,0.998525,0.001191
1.104167,0.995307,0.001191
1.125000,0.998015,0.001191
1.145833,1.000059,0.001191
1.166667,1.000051,0.001191
1.187500,0.998430,0.001191
1.208333,0.994986,0.001191
1.229167,0.996598,0.001191
1.250000,0.998360,0.001191
1.270833,0.998217,0.001191
1.291667,0.997731,0.001191
1.312500,0.999867,0.001191
1.333333,1.003023,0.001191
1.354167,0.999836,0.001191
1.375000,0.997633,0.001191
1.395833,0.999288,0.001191
1.416667,0.999064,0.001191
1.437500,1.000860,0.001191
1.458333,1.000576,0.001191
1.479167,1.000496,0.001191
1.500000,1.002518,0.001191
1.520833,0.997068,0.001191
1.541667,0.999023,0.001191
1.562500,1.000502,0.001191
1.583333,1.000203,0.001191
1.604167,1.002971,0.001191
1.625000,1.001957,0.001191
1.645833,1.000166,0.001191
1.666667,1.002585,0.001191
1.687500,1.003609,0.001191
1.708333,0.999149,0.001191
1.729167,1.001049,0.001191
