# alert ephemeris (community pipeline, approximate): P_alert = 3.57 d, t0_alert = 1.3 d
t_days,flux_rel,sigma_flux
0.000000,1.000982,0.001200
0.020833,0.997667,0.001200
0.041667,1.000341,0.001200
0.062500,1.002240,0.001200
0.083333,0.997614,0.001200
0.104167,1.002898,0.001200
0.125000,0.999282,0.001200
0.145833,1.001247,0.001200
0.166667,0.999181,0.001200
0.187500,0.997628,0.001200
0.208333,0.996926,0.001200
0.229167,0.996161,0.001200
0.250000,0.998607,0.001200
0.270833,0.997342,0.001200
0.291667,0.996918,0.001200
0.312500,0.996864,0.001200
0.333333,0.998082,0.001200
0.354167,0.995105,0.001200
0.375000,0.994039,0.001200
0.395833,0.994717,0.001200
0.416667,0.993866,0.001200
0.437500,0.992239,0.001200
0.458333,0.994077,0.001200
0.479167,0.991642,0.001200
0.500000,0.993113,0.001200
0.520833,0.992201,0.001200
0.541667,0.994039,0.001200
0.562500,0.993993,0.001200
0.583333,0.994952,0.001200
0.604167,0.993078,0.001200
0.625000,0.994213,0.001200
0.645833,0.993352,0.001200
0.666667,0.992853,0.001200
0.687500,0.992890,0.001200
0.708333,0.996108,0.001200
0.729167,0.995299,0.001200
0.750000,0.994431,0.001200
0.770833,0.994128,0.001200
0.791667,0.995116,0.001200
0.812500,0.993921,0.001200
0.833333,0.995479,0.001200
0.854167,0.992397,0.001200
0.875000,0.992782,0.001200
0.895833,0.993131,0.001200
0.916667,0.996103,0.001200
0.937500,0.993166,0.001200
0.958333,0.995702,0.001200
0.979167,0.994635,0.001200
1.000000,0.995360,0.001200
1.020833,0.996583,0.001200
1.041667,0.998551,0.001200
1.062500,0.998899,0.001200
1.083333,0.997712,0.001200
1.104167,1.000029,0.001200
1.125000,1.001406,0.001200
1.145833,0.998513,0.001200
1.166667,1.001902,0.001200
1.187500,1.001374,0.001200
1.208333,0.999483,0.001200
1.229167,1.001039,0.001200
1.250000,1.001819,0.001200
1.270833,0.996497,0.001200
1.291667,1.001957,0.001200
1.312500,0.999890,0.001200
1.333333,0.999975,0.001200
1.354167,0.996081,0.001200
1.375000,0.999510,0.001200
1.395833,1.001355,0.001200
1.416667,1.002837,0.001200
1.437500,1.002760,0.001200
1.458333,1.002179,0.001200
1.479167,1.002247,0.001200
1.500000,0.997875,0.001200
1.520833,0.999597,0.001200
1.541667,0.997475,0.001200
1.562500,1.003156,0.001200
1.583333,1.000419,0.001200
1.604167,1.000677,0.001200
1.625000,0.996000,0.001200
1.645833,0.998877,0.001200
1.666667,0.999755,0.001200
1.687500,1.000169,0.001200
1.708333,0.996844,0.001200
1.729167,1.000214,0.001200
1.750000,0.995939,0.001200
1.770833,0.997968,0.001200
1.791667,0.997794,0.001200
1.812500,0.998791,0.001200
1.833333,0.995885,0.001200
1.854167,0.996891,0.001200
1.875000,0.998149,0.001200
1.895833,0.996728,0.001200
1.916667,0.997462,0.001200
