# alert ephemeris (community pipeline, approximate): P_alert = 7.11 d, t0_alert = 7.5 d
t_days,flux_rel,sigma_flux
0.000000,0.993711,0.000966
0.020833,0.995845,0.000966
0.041667,0.996596,0.000966
0.062500,0.995316,0.000966
0.083333,0.995702,0.000966
0.104167,0.995537,0.000966
0.125000,0.994914,0.000966
0.145833,0.995176,0.000966
0.166667,0.996384,0.000966
0.187500,0.996783,0.000966
0.208333,0.996905,0.000966
0.229167,0.997164,0.000966
0.250000,0.996584,0.000966
0.270833,0.997785,0.000966
0.291667,0.997402,0.000966
0.312500,0.995779,0.000966
0.333333,0.992824,0.000966
0.354167,0.993604,0.000966
0.375000,0.992178,0.000966
0.395833,0.994234,0.000966
0.416667,0.996434,0.000966
0.437500,0.997326,0.000966
0.458333,0.998364,0.000966
0.479167,0.998275,0.000966
0.500000,0.997182,0.000966
0.520833,0.996172,0.000966
0.541667,0.997709,0.000966
0.562500,0.996627,0.000966
0.583333,0.997420,0.000966
0.604167,0.998783,0.000966
0.625000,0.997934,0.000966
0.645833,0.997976,0.000966
0.666667,0.998538,0.000966
0.687500,0.996502,0.000966
0.708333,0.998034,0.000966
0.729167,0.993774,0.000966
0.750000,0.994305,0.000966
0.770833,0.996223,0.000966
0.791667,0.995984,0.000966
0.812500,0.993686,0.000966
0.833333,0.996876,0.000966
0.854167,0.993773,0.000966
0.875000,0.995011,0.000966
0.895833,0.995656,0.000966
0.916667,0.997472,0.000966
0.937500,0.995222,0.000966
0.958333,0.996857,0.000966
0.979167,0.996021,0.000966
1.000000,0.997620,0.000966
1.020833,0.995249,0.000966
1.041667,0.996174,0.000966
1.062500,0.995454,0.000966
1.083333,0.996189,0.000966
1.104167,0.997389,0.000966
1.125000,0.995872,0.000966
1.145833,0.995659,0.000966
1.166667,0.997776,0.000966
1.187500,0.996732,0.000966
1.208333,0.996737,0.000966
1.229167,0.996511,0.000966
1.250000,0.997380,0.000966
1.270833,0.994320,0.000966
1.291667,0.997822,0.000966
1.312500,0.995326,0.000966
1.333333,0.994787,0.000966
1.354167,0.994628,0.000966
1.375000,0.995954,0.000966
1.395833,0.994700,0.000966
1.416667,0.997184,0.000966
1.437500,0.996323,0.000966
1.458333,0.995178,0.000966
1.479167,0.995596,0.000966
1.500000,0.995535,0.000966
1.520833,0.995928,0.000966
1.541667,0.995904,0.000966
1.562500,0.997737,0.000966
1.583333,0.997961,0.000966
1.604167,0.997053,0.000966
1.625000,0.997846,0.000966
1.645833,0.995580,0.000966
1.666667,0.996696,0.000966
1.687500,0.996625,0.000966
1.708333,0.995353,0.000966
1.729167,0.996162,0.000966
1.750000,0.994641,0.000966
1.770833,0.997995,0.000966
1.791667,0.995210,0.000966
1.812500,0.996177,0.000966
1.833333,0.996287,0.000966
1.854167,0.996207,0.000966
1.875000,0.997070,0.000966
1.895833,0.996862,0.000966
1.916667,0.995560,0.000966
1.937500,0.996588,0.000966
1.958333,0.996146,0.000966
1.979167,0.997096,0.000966
2.000000,0.996588,0.000966
2.020833,0.995100,0.000966
2.041667,0.997793,0.000966
2.062500,0.997950,0.000966
2.083333,0.995998,0.000966
2.104167,0.998433,0.000966
2.125000,0.997269,0.000966
2.145833,0.996632,0.000966
2.166667,0.996220,0.000966
2.187500,0.995613,0.000966
2.208333,0.998477,0.000966
2.229167,0.996418,0.000966
2.250000,0.996223,0.000966
2.270833,0.996963,0.000966
2.291667,0.998917,0.000966
2.312500,0.997975,0.000966
2.333333,0.997540,0.000966
2.354167,0.999596,0.000966
2.375000,0.996351,0.000966
2.395833,0.997786,0.000966
2.416667,0.996254,0.000966
2.437500,0.998832,0.000966
2.458333,0.999339,0.000966
2.479167,0.997999,0.000966
2.500000,0.997260,0.000966
2.520833,0.999212,0.000966
2.541667,0.997054,0.000966
2.562500,0.999978,0.000966
2.583333,0.999210,0.000966
2.604167,0.998141,0.000966
2.625000,1.000294,0.000966
2.645833,0.998938,0.000966
2.666667,0.997195,0.000966
2.687500,0.998935,0.000966
2.708333,1.000578,0.000966
2.729167,1.000144,0.000966
