# alert ephemeris (community pipeline, approximate): P_alert = 4.25 d, t0_alert = 1.9 d
t_days,flux_rel,sigma_flux
0.000000,0.997672,0.001370
0.020833,0.993824,0.001370
0.041667,0.994939,0.001370
0.062500,0.992175,0.001370
0.083333,0.995348,0.001370
0.104167,0.991041,0.001370
0.125000,0.993595,0.001370
0.145833,0.995737,0.001370
0.166667,0.994181,0.001370
0.187500,0.992771,0.001370
0.208333,0.991672,0.001370
0.229167,0.992581,0.001370
0.250000,0.992508,0.001370
0.270833,0.994731,0.001370
0.291667,0.995418,0.001370
0.312500,0.995102,0.001370
0.333333,0.996151,0.001370
0.354167,0.994751,0.001370
0.375000,0.993166,0.001370
0.395833,0.994191,0.001370
0.416667,0.993160,0.001370
0.437500,0.994406,0.001370
0.458333,0.990632,0.001370
0.479167,0.992513,0.001370
0.500000,0.993576,0.001370
0.520833,0.995629,0.001370
0.541667,0.994894,0.001370
0.562500,0.994376,0.001370
0.583333,0.996958,0.001370
0.604167,0.994621,0.001370
0.625000,0.998036,0.001370
0.645833,0.998044,0.001370
0.666667,0.995330,0.001370
0.687500,0.997850,0.001370
0.708333,0.994969,0.001370
0.729167,0.994644,0.001370
0.750000,0.995993,0.001370
0.770833,0.995284,0.001370
0.791667,0.991901,0.001370
0.812500,0.995300,0.001370
0.833333,0.992762,0.001370
0.854167,0.995595,0.001370
0.875000,0.995601,0.001370
0.895833,0.994087,0.001370
0.916667,0.995008,0.001370
0.937500,0.993640,0.001370
0.958333,0.992766,0.001370
0.979167,0.995195,0.001370
1.000000,0.994907,0.001370
1.020833,0.994100,0.001370
1.041667,0.994205,0.001370
1.062500,0.995400,0.001370
1.083333,0.994575,0.001370
1.104167,0.991258,0.001370
1.125000,0.994930,0.001370
1.145833,0.993102,0.001370
1.166667,0.993524,0.001370
1.187500,0.994209,0.001370
1.208333,0.993905,0.001370
1.229167,0.996480,0.001370
1.250000,0.993820,0.001370
1.270833,0.993789,0.001370
1.291667,0.994934,0.001370
1.312500,0.995932,0.001370
1.333333,0.992423,0.001370
1.354167,0.993776,0.001370
1.375000,0.993396,0.001370
1.395833,0.993436,0.001370
1.416667,0.996399,0.001370
1.437500,0.997048,0.001370
1.458333,0.994727,0.001370
1.479167,0.993220,0.001370
1.500000,0.991524,0.001370
1.520833,0.991193,0.001370
1.541667,0.995624,0.001370
1.562500,0.993278,0.001370
1.583333,0.992988,0.001370
1.604167,0.994274,0.001370
1.625000,0.996096,0.001370
1.645833,0.993291,0.001370
1.666667,0.994495,0.001370
1.687500,0.994972,0.001370
1.708333,0.993402,0.001370
1.729167,0.994029,0.001370
1.750000,0.993435,0.001370
1.770833,0.995019,0.001370
1.791667,0.992938,0.001370
1.812500,0.990576,0.001370
1.833333,0.988806,0.001370
1.854167,0.989477,0.001370
1.875000,0.992852,0.001370
1.895833,0.990379,0.001370
1.916667,0.994382,0.001370
1.937500,0.996279,0.001370
1.958333,0.995025,0.001370
1.979167,0.994363,0.001370
2.000000,0.995539,0.001370
2.020833,0.994577,0.001370
2.041667,0.994891,0.001370
2.062500,0.996436,0.001370
2.083333,0.997379,0.001370
2.104167,0.992941,0.001370
2.125000,0.994107,0.001370
2.145833,0.993480,0.001370
2.166667,0.995284,0.001370
2.187500,0.996691,0.001370
2.208333,0.993829,0.001370
2.229167,0.995362,0.001370
2.250000,0.994464,0.001370
2.270833,0.993587,0.001370
2.291667,0.994874,0.001370
2.312500,0.991434,0.001370
2.333333,0.993471,0.001370
2.354167,0.995949,0.001370
2.375000,0.992785,0.001370
2.395833,0.996162,0.001370
2.416667,0.994555,0.001370
2.437500,0.995537,0.001370
2.458333,0.995811,0.001370
2.479167,0.996198,0.001370
2.500000,0.998325,0.001370
2.520833,0.997029,0.001370
2.541667,0.999084,0.001370
2.562500,0.999053,0.001370
2.583333,0.997668,0.001370
2.604167,0.996395,0.001370
2.625000,0.997523,0.001370
2.645833,0.996122,0.001370
2.666667,0.995551,0.001370
2.687500,0.998036,0.001370
2.708333,0.995023,0.001370
2.729167,0.995326,0.001370
2.750000,0.995205,0.001370
2.770833,0.996526,0.001370
2.791667,0.994388,0.001370
2.812500,0.995476,0.001370
2.833333,0.994615,0.001370
2.854167,0.996695,0.001370
2.875000,0.996562,0.001370
2.895833,0.994588,0.001370
2.916667,0.997230,0.001370
2.937500,0.995149,0.001370
2.958333,0.995509,0.001370
2.979167,0.997377,0.001370
3.000000,0.998438,0.001370
3.020833,0.996738,0.001370
3.041667,0.996973,0.001370
3.062500,0.994579,0.001370
3.083333,0.994167,0.001370
3.104167,0.997270,0.001370
3.125000,0.996480,0.001370
3.145833,0.995109,0.001370
3.166667,0.997214,0.001370
3.187500,0.996767,0.001370
3.208333,0.996293,0.001370
3.229167,0.999412,0.001370
3.250000,0.998441,0.001370
3.270833,0.997133,0.001370
3.291667,0.998040,0.001370
3.312500,0.995529,0.001370
3.333333,0.997049,0.001370
3.354167,0.994195,0.001370
3.375000,0.995441,0.001370
3.395833,0.997807,0.001370
3.416667,0.997512,0.001370
3.437500,0.997058,0.001370
3.458333,0.998497,0.001370
3.479167,1.000229,0.001370
3.500000,0.999932,0.001370
3.520833,0.998472,0.001370
3.541667,1.002442,0.001370
3.562500,0.995606,0.001370
3.583333,0.999556,0.001370
3.604167,0.998402,0.001370
3.625000,0.998140,0.001370
3.645833,1.000083,0.001370
3.666667,0.998963,0.001370
3.687500,0.999293,0.001370
3.708333,0.999465,0.001370
3.729167,0.998474,0.001370
3.750000,0.999601,0.001370
3.770833,1.003116,0.001370
3.791667,1.000000,0.001370
3.812500,1.000418,0.001370
3.833333,0.998131,0.001370
3.854167,0.999742,0.001370
