# alert ephemeris (community pipeline, approximate): P_alert = 3.80 d, t0_alert = 0.6 d
t_days,flux_rel,sigma_flux
0.000000,1.002511,0.001100
0.020833,1.003631,0.001100
0.041667,1.003489,0.001100
0.062500,1.001891,0.001100
0.083333,1.004183,0.001100
0.104167,1.004400,0.001100
0.125000,1.002808,0.001100
0.145833,1.002015,0.001100
0.166667,1.002549,0.001100
0.187500,1.002181,0.001100
0.208333,1.002306,0.001100
0.229167,1.002663,0.001100
0.250000,1.001396,0.001100
0.270833,1.000629,0.001100
0.291667,1.001087,0.001100
0.312500,1.002999,0.001100
0.333333,1.002652,0.001100
0.354167,1.001610,0.001100
0.375000,1.002968,0.001100
0.395833,1.002249,0.001100
0.416667,1.003657,0.001100
0.437500,1.002251,0.001100
0.458333,1.002962,0.001100
0.479167,1.002720,0.001100
0.500000,0.999782,0.001100
0.520833,1.001192,0.001100
0.541667,0.995203,0.001100
0.562500,0.994982,0.001100
0.583333,0.995096,0.001100
0.604167,1.002699,0.001100
0.625000,1.003187,0.001100
0.645833,1.002000,0.001100
0.666667,1.000957,0.001100
0.687500,1.002081,0.001100
0.708333,1.001062,0.001100
0.729167,0.999883,0.001100
0.750000,1.002602,0.001100
0.770833,1.003591,0.001100
0.791667,1.002953,0.001100
0.812500,1.003697,0.001100
0.833333,1.002392,0.001100
0.854167,1.003301,0.001100
0.875000,1.004664,0.001100
0.895833,1.001363,0.001100
0.916667,1.001421,0.001100
0.937500,1.002080,0.001100
0.958333,1.003272,0.001100
0.979167,1.004032,0.001100
1.000000,1.003278,0.001100
1.020833,1.004339,0.001100
1.041667,1.002403,0.001100
1.062500,1.002965,0.001100
1.083333,1.000160,0.001100
1.104167,1.002539,0.001100
1.125000,1.002383,0.001100
1.145833,1.001216,0.001100
1.166667,1.000996,0.001100
1.187500,1.001703,0.001100
1.208333,1.002926,0.001100
1.229167,1.002204,0.001100
1.250000,1.001115,0.001100
1.270833,1.002054,0.001100
1.291667,1.001414,0.001100
1.312500,1.002665,0.001100
1.333333,1.001496,0.001100
1.354167,1.000401,0.001100
1.375000,1.002695,0.001100
1.395833,1.003345,0.001100
1.416667,1.003048,0.001100
1.437500,1.003710,0.001100
1.458333,1.003970,0.001100
1.479167,1.003830,0.001100
1.500000,1.003056,0.001100
1.520833,1.005465,0.001100
1.541667,1.003640,0.001100
1.562500,1.002598,0.001100
1.583333,1.001626,0.001100
1.604167,1.003106,0.001100
1.625000,1.002191,0.001100
1.645833,1.002855,0.001100
1.666667,1.002073,0.001100
1.687500,1.004196,0.001100
1.708333,1.001205,0.001100
1.729167,1.002066,0.001100
1.750000,1.000622,0.001100
1.770833,1.002522,0.001100
1.791667,1.000725,0.001100
1.812500,1.000882,0.001100
1.833333,1.000574,0.001100
1.854167,0.999082,0.001100
1.875000,1.003728,0.001100
1.895833,1.001401,0.001100
1.916667,1.001042,0.001100
1.937500,1.000119,0.001100
1.958333,1.002228,0.001100
1.979167,1.002582,0.001100
2.000000,0.996991,0.001100
2.020833,0.997260,0.001100
2.041667,0.998539,0.001100
2.062500,0.999863,0.001100
2.083333,0.997503,0.001100
2.104167,0.998510,0.001100
2.125000,0.999093,0.001100
2.145833,0.998840,0.001100
2.166667,0.997783,0.001100
2.187500,0.998933,0.001100
2.208333,1.001152,0.001100
2.229167,0.998158,0.001100
2.250000,1.000238,0.001100
2.270833,0.998474,0.001100
2.291667,0.998617,0.001100
2.312500,1.000234,0.001100
2.333333,0.999740,0.001100
2.354167,0.997879,0.001100
2.375000,1.000024,0.001100
2.395833,0.997231,0.001100
2.416667,0.998034,0.001100
2.437500,0.996356,0.001100
2.458333,0.997137,0.001100
2.479167,0.995974,0.001100
2.500000,0.996314,0.001100
2.520833,0.996816,0.001100
2.541667,0.995904,0.001100
2.562500,0.997556,0.001100
2.583333,0.999142,0.001100
2.604167,0.997951,0.001100
2.625000,0.998300,0.001100
2.645833,0.995337,0.001100
2.666667,0.997479,0.001100
2.687500,1.000759,0.001100
2.708333,0.999431,0.001100
2.729167,0.999694,0.001100
2.750000,1.002018,0.001100
2.770833,0.999850,0.001100
2.791667,0.997585,0.001100
2.812500,0.998535,0.001100
2.833333,0.999759,0.001100
2.854167,0.997601,0.001100
2.875000,0.998090,0.001100
2.895833,0.995785,0.001100
2.916667,0.995058,0.001100
2.937500,0.997027,0.001100
2.958333,0.996917,0.001100
2.979167,0.994301,0.001100
3.000000,0.993436,0.001100
3.020833,0.995544,0.001100
3.041667,0.996078,0.001100
3.062500,0.997498,0.001100
3.083333,0.995710,0.001100
3.104167,0.996009,0.001100
3.125000,0.996829,0.001100
3.145833,0.997213,0.001100
3.166667,0.996741,0.001100
3.187500,0.996067,0.001100
3.208333,0.996198,0.001100
3.229167,0.995844,0.001100
3.250000,0.995576,0.001100
3.270833,0.996250,0.001100
3.291667,0.996236,0.001100
3.312500,0.996243,0.001100
3.333333,0.996274,0.001100
3.354167,0.996204,0.001100
3.375000,0.995759,0.001100
3.395833,0.995817,0.001100
3.416667,0.995147,0.001100
3.437500,0.995273,0.001100
3.458333,0.996736,0.001100
3.479167,0.994858,0.001100
3.500000,0.995209,0.001100
3.520833,0.996274,0.001100
3.541667,0.996333,0.001100
3.562500,0.993606,0.001100
3.583333,0.996308,0.001100
3.604167,0.994606,0.001100
3.625000,0.994170,0.001100
3.645833,0.993942,0.001100
3.666667,0.991345,0.001100
3.687500,0.993330,0.001100
3.708333,0.993037,0.001100
3.729167,0.992742,0.001100
3.750000,0.995309,0.001100
3.770833,0.994486,0.001100
3.791667,0.991943,0.001100
3.812500,0.991075,0.001100
3.833333,0.991832,0.001100
3.854167,0.992792,0.001100
3.875000,0.993727,0.001100
3.895833,0.993125,0.001100
3.916667,0.994167,0.001100
3.937500,0.994700,0.001100
3.958333,0.992706,0.001100
3.979167,0.993013,0.001100
4.000000,0.991799,0.001100
4.020833,0.995795,0.001100
4.041667,0.995287,0.001100
4.062500,0.995078,0.001100
4.083333,0.992697,0.001100
4.104167,0.995458,0.001100
4.125000,0.994897,0.001100
4.145833,0.994185,0.001100
4.166667,0.994696,0.001100
4.187500,0.993560,0.001100
4.208333,0.993438,0.001100
4.229167,0.993352,0.001100
4.250000,0.991710,0.001100
4.270833,0.993728,0.001100
4.291667,0.992777,0.001100
4.312500,0.992583,0.001100
4.333333,0.988590,0.001100
4.354167,0.988863,0.001100
4.375000,0.988680,0.001100
4.395833,0.994026,0.001100
4.416667,0.992854,0.001100
4.437500,0.995424,0.001100
4.458333,0.998301,0.001100
4.479167,0.995747,0.001100
4.500000,0.996080,0.001100
4.520833,0.995427,0.001100
4.541667,0.994121,0.001100
4.562500,0.993515,0.001100
4.583333,0.994208,0.001100
4.604167,0.995054,0.001100
4.625000,0.995766,0.001100
4.645833,0.993937,0.001100
4.666667,0.994587,0.001100
4.687500,0.994531,0.001100
4.708333,0.995488,0.001100
4.729167,0.991944,0.001100
4.750000,0.995158,0.001100
4.770833,0.997171,0.001100
4.791667,0.995131,0.001100
4.812500,0.995452,0.001100
4.833333,0.994585,0.001100
4.854167,0.993512,0.001100
4.875000,0.992151,0.001100
4.895833,0.995254,0.001100
4.916667,0.991871,0.001100
4.937500,0.994320,0.001100
4.958333,0.994197,0.001100
4.979167,0.994143,0.001100
5.000000,0.997599,0.001100
5.020833,0.996240,0.001100
5.041667,0.997391,0.001100
5.062500,0.996181,0.001100
5.083333,0.997422,0.001100
5.104167,0.998276,0.001100
5.125000,0.997738,0.001100
5.145833,0.997726,0.001100
5.166667,0.998444,0.001100
5.187500,0.998453,0.001100
5.208333,0.997632,0.001100
5.229167,0.996568,0.001100
5.250000,0.996664,0.001100
5.270833,0.996545,0.001100
5.291667,0.997076,0.001100
5.312500,0.997224,0.001100
5.333333,0.999146,0.001100
5.354167,0.997301,0.001100
5.375000,1.000122,0.001100
5.395833,0.999288,0.001100
5.416667,0.998047,0.001100
5.437500,0.997835,0.001100
5.458333,0.999642,0.001100
