# alert ephemeris (community pipeline, approximate): P_alert = 8.88 d, t0_alert = 0.7 d
t_days,flux_rel,sigma_flux
0.000000,0.996835,0.001304
0.020833,0.994556,0.001304
0.041667,0.995131,0.001304
0.062500,0.994183,0.001304
0.083333,0.995185,0.001304
0.104167,0.997109,0.001304
0.125000,0.994221,0.001304
0.145833,0.995902,0.001304
0.166667,0.994583,0.001304
0.187500,0.997068,0.001304
0.208333,0.996291,0.001304
0.229167,0.994075,0.001304
0.250000,0.994973,0.001304
0.270833,0.996811,0.001304
0.291667,0.992613,0.001304
0.312500,0.993059,0.001304
0.333333,0.993376,0.001304
0.354167,0.996381,0.001304
0.375000,0.995469,0.001304
0.395833,0.995271,0.001304
0.416667,0.993394,0.001304
0.437500,0.994252,0.001304
0.458333,0.994624,0.001304
0.479167,0.993078,0.001304
0.500000,0.993428,0.001304
0.520833,0.994717,0.001304
0.541667,0.994222,0.001304
0.562500,0.992398,0.001304
0.583333,0.995241,0.001304
0.604167,0.993507,0.001304
0.625000,0.992774,0.001304
0.645833,0.995464,0.001304
0.666667,0.987906,0.001304
0.687500,0.987484,0.001304
0.708333,0.985672,0.001304
0.729167,0.985668,0.001304
0.750000,0.992106,0.001304
0.770833,0.990631,0.001304
0.791667,0.989590,0.001304
0.812500,0.991378,0.001304
0.833333,0.990751,0.001304
0.854167,0.991845,0.001304
0.875000,0.991263,0.001304
0.895833,0.992793,0.001304
0.916667,0.991262,0.001304
0.937500,0.991939,0.001304
0.958333,0.990458,0.001304
0.979167,0.993019,0.001304
1.000000,0.991485,0.001304
1.020833,0.990315,0.001304
1.041667,0.993234,0.001304
1.062500,0.991336,0.001304
1.083333,0.990634,0.001304
1.104167,0.991971,0.001304
1.125000,0.990892,0.001304
1.145833,0.995403,0.001304
1.166667,0.994149,0.001304
1.187500,0.992041,0.001304
1.208333,0.992066,0.001304
1.229167,0.993487,0.001304
1.250000,0.992440,0.001304
1.270833,0.992746,0.001304
1.291667,0.993062,0.001304
1.312500,0.994157,0.001304
1.333333,0.992618,0.001304
1.354167,0.995169,0.001304
1.375000,0.992445,0.001304
1.395833,0.992118,0.001304
1.416667,0.996094,0.001304
1.437500,0.996114,0.001304
1.458333,0.991170,0.001304
1.479167,0.995648,0.001304
1.500000,0.993657,0.001304
1.520833,0.992684,0.001304
1.541667,0.993174,0.001304
1.562500,0.991954,0.001304
1.583333,0.993987,0.001304
1.604167,0.996212,0.001304
1.625000,0.994208,0.001304
1.645833,0.996330,0.001304
1.666667,0.995627,0.001304
1.687500,0.996119,0.001304
1.708333,0.995013,0.001304
1.729167,0.995969,0.001304
