# alert ephemeris (community pipeline, approximate): P_alert = 5.00 d, t0_alert = 3.0 d
t_days,flux_rel,sigma_flux
0.000000,1.008183,0.001217
0.020833,1.007333,0.001217
0.041667,1.006133,0.001217
0.062500,1.004460,0.001217
0.083333,1.005183,0.001217
0.104167,1.003924,0.001217
0.125000,1.003150,0.001217
0.145833,1.006392,0.001217
0.166667,1.004932,0.001217
0.187500,1.004855,0.001217
0.208333,1.006051,0.001217
0.229167,1.007317,0.001217
0.250000,1.007132,0.001217
0.270833,1.005714,0.001217
0.291667,1.008748,0.001217
0.312500,1.008559,0.001217
0.333333,1.006916,0.001217
0.354167,1.006074,0.001217
0.375000,1.009207,0.001217
0.395833,1.007887,0.001217
0.416667,1.005582,0.001217
0.437500,1.006337,0.001217
0.458333,1.006426,0.001217
0.479167,1.006117,0.001217
0.500000,1.003556,0.001217
0.520833,1.003654,0.001217
0.541667,1.004036,0.001217
0.562500,1.004729,0.001217
0.583333,1.004298,0.001217
0.604167,1.006121,0.001217
0.625000,1.005111,0.001217
0.645833,1.007465,0.001217
0.666667,1.005604,0.001217
0.687500,1.006042,0.001217
0.708333,1.007322,0.001217
0.729167,1.003983,0.001217
0.750000,1.006676,0.001217
0.770833,1.008065,0.001217
0.791667,1.006508,0.001217
0.812500,1.004303,0.001217
0.833333,1.004627,0.001217
0.854167,1.004662,0.001217
0.875000,1.004734,0.001217
0.895833,1.007214,0.001217
0.916667,1.004529,0.001217
0.937500,1.002350,0.001217
0.958333,1.005330,0.001217
0.979167,1.006415,0.001217
1.000000,1.006543,0.001217
1.020833,1.008315,0.001217
1.041667,1.007438,0.001217
1.062500,1.007524,0.001217
1.083333,1.003506,0.001217
1.104167,1.003762,0.001217
1.125000,1.003068,0.001217
1.145833,1.003723,0.001217
1.166667,1.001218,0.001217
1.187500,1.002879,0.001217
1.208333,1.001926,0.001217
1.229167,0.999549,0.001217
1.250000,1.000371,0.001217
1.270833,1.001781,0.001217
1.291667,0.999869,0.001217
1.312500,0.999081,0.001217
1.333333,0.999071,0.001217
1.354167,0.996251,0.001217
1.375000,1.002033,0.001217
1.395833,1.001033,0.001217
1.416667,0.998989,0.001217
1.437500,0.998875,0.001217
1.458333,1.001811,0.001217
1.479167,0.999875,0.001217
1.500000,0.999900,0.001217
1.520833,1.001234,0.001217
1.541667,0.998214,0.001217
1.562500,1.000388,0.001217
1.583333,0.998583,0.001217
1.604167,0.997133,0.001217
1.625000,1.000092,0.001217
1.645833,1.002914,0.001217
1.666667,0.998485,0.001217
1.687500,0.997728,0.001217
1.708333,0.999072,0.001217
1.729167,0.999275,0.001217
1.750000,0.999387,0.001217
1.770833,0.998678,0.001217
1.791667,1.000080,0.001217
1.812500,0.999322,0.001217
1.833333,1.002292,0.001217
1.854167,1.001666,0.001217
1.875000,0.999409,0.001217
1.895833,1.001358,0.001217
1.916667,0.999598,0.001217
1.937500,0.999127,0.001217
1.958333,1.001508,0.001217
1.979167,0.999392,0.001217
2.000000,0.997365,0.001217
2.020833,0.998096,0.001217
2.041667,0.997612,0.001217
2.062500,1.000041,0.001217
2.083333,1.002530,0.001217
2.104167,0.999948,0.001217
2.125000,0.999515,0.001217
2.145833,0.996827,0.001217
2.166667,0.999499,0.001217
2.187500,0.998209,0.001217
2.208333,0.999767,0.001217
2.229167,1.003569,0.001217
2.250000,1.000691,0.001217
2.270833,1.002236,0.001217
2.291667,1.001662,0.001217
2.312500,1.002035,0.001217
2.333333,1.003060,0.001217
2.354167,0.999101,0.001217
2.375000,1.001133,0.001217
2.395833,1.000835,0.001217
2.416667,0.997601,0.001217
2.437500,0.997667,0.001217
2.458333,0.997320,0.001217
2.479167,0.997821,0.001217
2.500000,0.997593,0.001217
2.520833,0.997187,0.001217
2.541667,0.994521,0.001217
2.562500,0.994032,0.001217
2.583333,0.996164,0.001217
2.604167,0.996385,0.001217
2.625000,0.998288,0.001217
2.645833,0.998167,0.001217
2.666667,0.998624,0.001217
2.687500,0.997542,0.001217
2.708333,0.996857,0.001217
2.729167,0.997118,0.001217
2.750000,1.000140,0.001217
2.770833,0.997788,0.001217
2.791667,0.996181,0.001217
2.812500,0.997424,0.001217
2.833333,0.998353,0.001217
2.854167,0.999319,0.001217
2.875000,0.998741,0.001217
2.895833,0.999677,0.001217
2.916667,1.000885,0.001217
2.937500,1.002447,0.001217
2.958333,1.001609,0.001217
2.979167,1.003579,0.001217
3.000000,1.000760,0.001217
3.020833,0.999967,0.001217
3.041667,0.998349,0.001217
3.062500,0.999337,0.001217
3.083333,0.996270,0.001217
3.104167,1.002519,0.001217
3.125000,1.002197,0.001217
3.145833,1.000669,0.001217
3.166667,1.000973,0.001217
3.187500,0.998053,0.001217
3.208333,1.000379,0.001217
3.229167,0.998469,0.001217
3.250000,0.997768,0.001217
3.270833,0.999989,0.001217
3.291667,1.000956,0.001217
3.312500,1.000760,0.001217
3.333333,1.000517,0.001217
3.354167,0.998617,0.001217
3.375000,0.997685,0.001217
3.395833,0.997444,0.001217
3.416667,1.001600,0.001217
3.437500,0.998961,0.001217
3.458333,0.998290,0.001217
3.479167,0.997465,0.001217
3.500000,0.999862,0.001217
3.520833,0.997567,0.001217
3.541667,1.001644,0.001217
3.562500,1.000980,0.001217
3.583333,1.000997,0.001217
3.604167,1.001506,0.001217
3.625000,0.998875,0.001217
3.645833,0.998001,0.001217
3.666667,1.000058,0.001217
3.687500,0.999205,0.001217
3.708333,0.998616,0.001217
3.729167,0.998515,0.001217
3.750000,1.003260,0.001217
3.770833,0.999837,0.001217
3.791667,1.001130,0.001217
3.812500,0.995765,0.001217
3.833333,0.997104,0.001217
3.854167,0.998640,0.001217
3.875000,0.999302,0.001217
3.895833,0.997026,0.001217
3.916667,0.998707,0.001217
3.937500,1.000338,0.001217
3.958333,0.999496,0.001217
3.979167,0.998676,0.001217
4.000000,0.998789,0.001217
4.020833,0.997588,0.001217
