# alert ephemeris (community pipeline, approximate): P_alert = 8.79 d, t0_alert = 7.1 d
t_days,flux_rel,sigma_flux
0.000000,1.003672,0.001415
0.020833,0.999952,0.001415
0.041667,0.999008,0.001415
0.062500,0.999178,0.001415
0.083333,0.997900,0.001415
0.104167,0.996338,0.001415
0.125000,0.998347,0.001415
0.145833,0.997948,0.001415
0.166667,1.000303,0.001415
0.187500,0.998823,0.001415
0.208333,0.996584,0.001415
0.229167,1.002281,0.001415
0.250000,0.999643,0.001415
0.270833,0.998651,0.001415
0.291667,0.999080,0.001415
0.312500,1.000105,0.001415
0.333333,0.999314,0.001415
0.354167,1.001316,0.001415
0.375000,1.000167,0.001415
0.395833,0.999085,0.001415
0.416667,1.001698,0.001415
0.437500,1.003577,0.001415
0.458333,0.999782,0.001415
0.479167,1.000807,0.001415
0.500000,1.001321,0.001415
0.520833,1.001806,0.001415
0.541667,0.997855,0.001415
0.562500,0.996448,0.001415
0.583333,0.998023,0.001415
0.604167,0.998614,0.001415
0.625000,0.996922,0.001415
0.645833,0.998743,0.001415
0.666667,0.996362,0.001415
0.687500,0.999522,0.001415
0.708333,0.997309,0.001415
0.729167,0.997754,0.001415
0.750000,1.001053,0.001415
0.770833,0.998926,0.001415
0.791667,0.999193,0.001415
0.812500,0.999710,0.001415
0.833333,0.998313,0.001415
0.854167,0.998685,0.001415
0.875000,1.000997,0.001415
0.895833,0.998093,0.001415
0.916667,0.998324,0.001415
0.937500,1.001331,0.001415
0.958333,0.999219,0.001415
0.979167,1.000332,0.001415
1.000000,1.000246,0.001415
1.020833,0.999865,0.001415
1.041667,0.997992,0.001415
1.062500,0.999247,0.001415
1.083333,1.000394,0.001415
1.104167,1.002315,0.001415
1.125000,1.002621,0.001415
1.145833,1.000246,0.001415
1.166667,1.000245,0.001415
1.187500,0.999566,0.001415
1.208333,0.999331,0.001415
1.229167,0.998829,0.001415
1.250000,0.999102,0.001415
1.270833,0.995670,0.001415
1.291667,0.999839,0.001415
1.312500,0.996881,0.001415
1.333333,0.998832,0.001415
1.354167,0.997093,0.001415
1.375000,0.998691,0.001415
1.395833,0.997953,0.001415
1.416667,0.999512,0.001415
1.437500,0.996847,0.001415
1.458333,1.000198,0.001415
1.479167,0.998964,0.001415
1.500000,0.997866,0.001415
1.520833,0.998686,0.001415
1.541667,0.997107,0.001415
1.562500,0.996438,0.001415
1.583333,0.998473,0.001415
1.604167,0.999142,0.001415
1.625000,1.000234,0.001415
1.645833,0.998855,0.001415
1.666667,0.997059,0.001415
1.687500,0.999522,0.001415
1.708333,0.998365,0.001415
1.729167,1.000136,0.001415
1.750000,1.000213,0.001415
1.770833,0.998786,0.001415
1.791667,0.995935,0.001415
1.812500,0.998463,0.001415
