# alert ephemeris (community pipeline, approximate): P_alert = 6.02 d, t0_alert = 6.2 d
t_days,flux_rel,sigma_flux
0.000000,0.997178,0.000999
0.020833,0.997073,0.000999
0.041667,0.995533,0.000999
0.062500,0.998509,0.000999
0.083333,0.998398,0.000999
0.104167,0.998981,0.000999
0.125000,0.995043,0.000999
0.145833,0.993785,0.000999
0.166667,0.994008,0.000999
0.187500,0.995399,0.000999
0.208333,0.996718,0.000999
0.229167,0.997474,0.000999
0.250000,0.997454,0.000999
0.270833,0.997299,0.000999
0.291667,0.997635,0.000999
0.312500,0.996669,0.000999
0.333333,0.997304,0.000999
0.354167,0.996890,0.000999
0.375000,0.995494,0.000999
0.395833,0.996056,0.000999
0.416667,0.996630,0.000999
0.437500,0.995256,0.000999
0.458333,0.996042,0.000999
0.479167,0.996744,0.000999
0.500000,0.996345,0.000999
0.520833,0.996696,0.000999
0.541667,0.997507,0.000999
0.562500,0.996089,0.000999
0.583333,0.996686,0.000999
0.604167,0.996012,0.000999
0.625000,0.995943,0.000999
0.645833,0.996671,0.000999
0.666667,0.996453,0.000999
0.687500,0.996993,0.000999
0.708333,0.996753,0.000999
0.729167,0.996513,0.000999
0.750000,0.999372,0.000999
0.770833,0.997968,0.000999
0.791667,0.997828,0.000999
0.812500,0.997213,0.000999
0.833333,0.998548,0.000999
0.854167,0.999495,0.000999
0.875000,0.996728,0.000999
0.895833,0.995306,0.000999
0.916667,0.997788,0.000999
0.937500,0.998614,0.000999
0.958333,0.997559,0.000999
0.979167,0.996689,0.000999
1.000000,0.996636,0.000999
1.020833,0.998315,0.000999
1.041667,0.997629,0.000999
1.062500,0.997926,0.000999
1.083333,0.997082,0.000999
1.104167,0.998556,0.000999
1.125000,0.998545,0.000999
1.145833,0.998018,0.000999
1.166667,0.997284,0.000999
1.187500,0.997872,0.000999
1.208333,0.996785,0.000999
1.229167,0.996886,0.000999
1.250000,0.999546,0.000999
1.270833,0.997504,0.000999
1.291667,0.997694,0.000999
1.312500,0.997165,0.000999
