# alert ephemeris (community pipeline, approximate): P_alert = 7.58 d, t0_alert = 2.0 d
t_days,flux_rel,sigma_flux
0.000000,1.004217,0.001423
0.020833,1.004701,0.001423
0.041667,1.003825,0.001423
0.062500,1.001715,0.001423
0.083333,1.003361,0.001423
0.104167,1.002362,0.001423
0.125000,1.005502,0.001423
0.145833,1.004456,0.001423
0.166667,1.002879,0.001423
0.187500,1.004680,0.001423
0.208333,1.002120,0.001423
0.229167,1.004153,0.001423
0.250000,1.004418,0.001423
0.270833,1.002889,0.001423
0.291667,1.001589,0.001423
0.312500,1.006011,0.001423
0.333333,1.006270,0.001423
0.354167,1.004102,0.001423
0.375000,1.002073,0.001423
0.395833,1.005886,0.001423
0.416667,1.000648,0.001423
0.437500,1.005158,0.001423
0.458333,1.007165,0.001423
0.479167,1.002489,0.001423
0.500000,1.004727,0.001423
0.520833,1.004160,0.001423
0.541667,1.002891,0.001423
0.562500,1.001384,0.001423
0.583333,1.005048,0.001423
0.604167,1.002648,0.001423
0.625000,1.003761,0.001423
0.645833,1.002687,0.001423
0.666667,1.003338,0.001423
0.687500,1.003402,0.001423
0.708333,1.002736,0.001423
0.729167,1.006572,0.001423
0.750000,1.004316,0.001423
0.770833,1.003796,0.001423
0.791667,1.003753,0.001423
0.812500,1.001378,0.001423
0.833333,1.003707,0.001423
0.854167,1.000694,0.001423
0.875000,1.003494,0.001423
0.895833,1.003768,0.001423
0.916667,1.005301,0.001423
0.937500,1.005416,0.001423
0.958333,1.004410,0.001423
0.979167,1.003688,0.001423
1.000000,1.004554,0.001423
1.020833,1.004779,0.001423
1.041667,1.004583,0.001423
1.062500,1.004734,0.001423
1.083333,1.001952,0.001423
1.104167,1.004006,0.001423
1.125000,1.004257,0.001423
1.145833,1.005566,0.001423
1.166667,1.004576,0.001423
1.187500,1.003573,0.001423
1.208333,1.005831,0.001423
1.229167,1.004109,0.001423
1.250000,1.005002,0.001423
1.270833,1.007583,0.001423
1.291667,1.001711,0.001423
1.312500,1.006115,0.001423
1.333333,1.002559,0.001423
1.354167,1.002184,0.001423
1.375000,1.000908,0.001423
1.395833,1.002403,0.001423
1.416667,1.003500,0.001423
1.437500,1.000246,0.001423
1.458333,1.005143,0.001423
1.479167,1.000935,0.001423
1.500000,1.004718,0.001423
1.520833,1.004865,0.001423
1.541667,1.004534,0.001423
1.562500,1.002931,0.001423
1.583333,1.006626,0.001423
1.604167,1.004982,0.001423
1.625000,1.004448,0.001423
1.645833,1.004812,0.001423
1.666667,1.004110,0.001423
1.687500,1.006970,0.001423
1.708333,1.003914,0.001423
1.729167,1.002569,0.001423
1.750000,1.002119,0.001423
1.770833,1.002932,0.001423
