# alert ephemeris (community pipeline, approximate): P_alert = 8.50 d, t0_alert = 2.1 d
t_days,flux_rel,sigma_flux
0.000000,0.999117,0.000961
0.020833,0.998848,0.000961
0.041667,0.997521,0.000961
0.062500,0.998835,0.000961
0.083333,0.997943,0.000961
0.104167,0.999366,0.000961
0.125000,0.998628,0.000961
0.145833,0.999981,0.000961
0.166667,0.999856,0.000961
0.187500,0.998652,0.000961
0.208333,0.998048,0.000961
0.229167,0.999139,0.000961
0.250000,0.999651,0.000961
0.270833,1.001400,0.000961
0.291667,0.997815,0.000961
0.312500,0.998958,0.000961
0.333333,1.001084,0.000961
0.354167,0.999416,0.000961
0.375000,0.999934,0.000961
0.395833,0.998227,0.000961
0.416667,0.999113,0.000961
0.437500,1.000273,0.000961
0.458333,0.998389,0.000961
0.479167,0.998254,0.000961
0.500000,0.998066,0.000961
0.520833,0.999365,0.000961
0.541667,0.998659,0.000961
0.562500,0.997377,0.000961
0.583333,0.998051,0.000961
0.604167,0.998163,0.000961
0.625000,0.997121,0.000961
0.645833,0.999059,0.000961
0.666667,0.998301,0.000961
0.687500,0.998167,0.000961
0.708333,0.997000,0.000961
0.729167,0.998722,0.000961
0.750000,0.998096,0.000961
0.770833,1.000745,0.000961
0.791667,1.000959,0.000961
0.812500,1.001215,0.000961
0.833333,0.999878,0.000961
0.854167,1.000621,0.000961
0.875000,1.001355,0.000961
0.895833,1.000340,0.000961
0.916667,1.002757,0.000961
0.937500,1.001584,0.000961
0.958333,1.003380,0.000961
0.979167,1.003876,0.000961
1.000000,1.002772,0.000961
1.020833,1.002352,0.000961
1.041667,1.003102,0.000961
1.062500,1.003636,0.000961
1.083333,1.002963,0.000961
1.104167,1.005057,0.000961
1.125000,1.002046,0.000961
1.145833,1.002857,0.000961
1.166667,1.003783,0.000961
1.187500,1.002371,0.000961
1.208333,1.001235,0.000961
1.229167,1.001018,0.000961
1.250000,1.000870,0.000961
1.270833,1.003303,0.000961
1.291667,1.002867,0.000961
1.312500,1.002040,0.000961
1.333333,1.001990,0.000961
1.354167,1.002909,0.000961
1.375000,1.003440,0.000961
1.395833,1.003703,0.000961
1.416667,1.002062,0.000961
1.437500,1.002588,0.000961
1.458333,1.002483,0.000961
1.479167,1.003344,0.000961
1.500000,1.003285,0.000961
1.520833,1.004587,0.000961
1.541667,1.005730,0.000961
1.562500,1.006359,0.000961
1.583333,1.003906,0.000961
1.604167,1.004430,0.000961
1.625000,1.004744,0.000961
1.645833,1.005539,0.000961
1.666667,1.004233,0.000961
1.687500,1.004060,0.000961
1.708333,1.005956,0.000961
1.729167,1.003860,0.000961
1.750000,1.006059,0.000961
1.770833,1.004888,0.000961
1.791667,1.005309,0.000961
1.812500,1.003814,0.000961
1.833333,1.004709,0.000961
1.854167,1.002636,0.000961
1.875000,1.003743,0.000961
1.895833,1.001429,0.000961
1.916667,1.002074,0.000961
