# alert ephemeris (community pipeline, approximate): P_alert = 5.22 d, t0_alert = 5.3 d
t_days,flux_rel,sigma_flux
0.000000,0.999598,0.001208
0.020833,0.999062,0.001208
0.041667,1.000207,0.001208
0.062500,0.998554,0.001208
0.083333,0.999927,0.001208
0.104167,1.003558,0.001208
0.125000,1.003959,0.001208
0.145833,1.003328,0.001208
0.166667,1.004419,0.001208
0.187500,1.003093,0.001208
0.208333,1.002474,0.001208
0.229167,1.004000,0.001208
0.250000,1.003449,0.001208
0.270833,1.004680,0.001208
0.291667,1.001586,0.001208
0.312500,1.002575,0.001208
0.333333,1.003542,0.001208
0.354167,1.004514,0.001208
0.375000,1.002717,0.001208
0.395833,1.004506,0.001208
0.416667,1.004555,0.001208
0.437500,1.003080,0.001208
0.458333,1.005952,0.001208
0.479167,1.006177,0.001208
0.500000,1.003642,0.001208
0.520833,1.002816,0.001208
0.541667,1.004475,0.001208
0.562500,1.005497,0.001208
0.583333,1.003951,0.001208
0.604167,1.004976,0.001208
0.625000,1.004749,0.001208
0.645833,1.002748,0.001208
0.666667,1.001973,0.001208
0.687500,1.002123,0.001208
0.708333,1.002730,0.001208
0.729167,1.001776,0.001208
0.750000,1.004698,0.001208
0.770833,0.999417,0.001208
0.791667,1.002361,0.001208
0.812500,1.003485,0.001208
0.833333,1.002823,0.001208
0.854167,1.002920,0.001208
0.875000,1.000940,0.001208
0.895833,1.002872,0.001208
0.916667,1.004065,0.001208
0.937500,1.003054,0.001208
0.958333,1.004529,0.001208
0.979167,1.003945,0.001208
1.000000,1.001629,0.001208
1.020833,1.005821,0.001208
1.041667,1.005412,0.001208
1.062500,1.006578,0.001208
1.083333,1.003042,0.001208
1.104167,1.004078,0.001208
1.125000,1.005397,0.001208
1.145833,1.005252,0.001208
1.166667,1.005083,0.001208
1.187500,1.003846,0.001208
1.208333,1.004149,0.001208
1.229167,1.006625,0.001208
1.250000,1.004373,0.001208
1.270833,1.007196,0.001208
1.291667,1.005928,0.001208
1.312500,1.006197,0.001208
1.333333,1.006265,0.001208
1.354167,1.004996,0.001208
1.375000,1.005868,0.001208
1.395833,1.006062,0.001208
1.416667,1.007678,0.001208
1.437500,1.007179,0.001208
1.458333,1.005992,0.001208
1.479167,1.006537,0.001208
1.500000,1.005655,0.001208
1.520833,1.005425,0.001208
1.541667,1.006405,0.001208
1.562500,1.007039,0.001208
1.583333,1.005412,0.001208
1.604167,1.006173,0.001208
1.625000,1.008403,0.001208
1.645833,1.005819,0.001208
1.666667,1.007184,0.001208
1.687500,1.005010,0.001208
1.708333,1.003363,0.001208
1.729167,1.005378,0.001208
1.750000,1.005631,0.001208
1.770833,1.006023,0.001208
1.791667,1.005768,0.001208
1.812500,1.005245,0.001208
1.833333,1.002988,0.001208
1.854167,1.004607,0.001208
1.875000,1.005361,0.001208
1.895833,1.006595,0.001208
1.916667,1.003781,0.001208
1.937500,1.006395,0.001208
1.958333,1.005631,0.001208
1.979167,1.006534,0.001208
2.000000,1.006382,0.001208
2.020833,1.004294,0.001208
2.041667,1.004780,0.001208
2.062500,1.007014,0.001208
2.083333,1.005957,0.001208
2.104167,1.005243,0.001208
2.125000,1.005548,0.001208
2.145833,1.005663,0.001208
2.166667,1.004798,0.001208
2.187500,1.004755,0.001208
2.208333,1.006128,0.001208
2.229167,1.005640,0.001208
2.250000,1.007880,0.001208
2.270833,1.005847,0.001208
2.291667,1.005411,0.001208
2.312500,1.005030,0.001208
2.333333,1.005433,0.001208
2.354167,1.005406,0.001208
2.375000,1.003757,0.001208
2.395833,1.008973,0.001208
2.416667,1.007024,0.001208
2.437500,1.005071,0.001208
2.458333,1.006061,0.001208
2.479167,1.006505,0.001208
2.500000,1.004226,0.001208
2.520833,1.002239,0.001208
2.541667,1.003598,0.001208
2.562500,1.005972,0.001208
2.583333,1.004047,0.001208
2.604167,1.001870,0.001208
2.625000,1.002496,0.001208
2.645833,1.003037,0.001208
2.666667,1.001227,0.001208
2.687500,1.002828,0.001208
2.708333,1.001608,0.001208
2.729167,1.000262,0.001208
2.750000,1.002445,0.001208
2.770833,1.000898,0.001208
2.791667,1.000941,0.001208
2.812500,1.001775,0.001208
2.833333,0.997186,0.001208
2.854167,1.000169,0.001208
2.875000,1.001599,0.001208
2.895833,1.000412,0.001208
2.916667,1.003015,0.001208
2.937500,0.999502,0.001208
2.958333,1.001298,0.001208
2.979167,0.999874,0.001208
3.000000,1.003074,0.001208
3.020833,1.000504,0.001208
3.041667,0.999890,0.001208
3.062500,0.999678,0.001208
3.083333,1.001021,0.001208
3.104167,1.001428,0.001208
3.125000,0.999041,0.001208
3.145833,0.997934,0.001208
3.166667,0.999099,0.001208
3.187500,0.997413,0.001208
3.208333,0.998226,0.001208
3.229167,0.999761,0.001208
3.250000,0.999233,0.001208
3.270833,0.998592,0.001208
3.291667,0.998231,0.001208
3.312500,0.998472,0.001208
3.333333,0.997169,0.001208
3.354167,0.999525,0.001208
3.375000,0.995789,0.001208
3.395833,0.998589,0.001208
3.416667,0.997249,0.001208
3.437500,0.998064,0.001208
3.458333,0.999260,0.001208
3.479167,0.999951,0.001208
3.500000,0.999091,0.001208
3.520833,0.998403,0.001208
3.541667,0.997387,0.001208
3.562500,0.998087,0.001208
3.583333,0.998858,0.001208
3.604167,0.997049,0.001208
3.625000,1.001169,0.001208
3.645833,0.999108,0.001208
3.666667,0.999355,0.001208
3.687500,0.998039,0.001208
3.708333,1.001121,0.001208
3.729167,0.997479,0.001208
3.750000,1.000286,0.001208
3.770833,0.999571,0.001208
3.791667,0.999751,0.001208
3.812500,0.999178,0.001208
3.833333,0.996723,0.001208
3.854167,0.996040,0.001208
3.875000,0.998771,0.001208
3.895833,0.997981,0.001208
3.916667,0.996884,0.001208
3.937500,0.998667,0.001208
3.958333,0.999165,0.001208
3.979167,0.999698,0.001208
4.000000,0.998131,0.001208
4.020833,0.998229,0.001208
4.041667,0.998132,0.001208
4.062500,0.999004,0.001208
4.083333,0.998043,0.001208
4.104167,1.000667,0.001208
4.125000,0.997135,0.001208
4.145833,0.997979,0.001208
4.166667,0.998473,0.001208
4.187500,0.999691,0.001208
4.208333,0.996540,0.001208
4.229167,0.998652,0.001208
4.250000,0.999563,0.001208
4.270833,0.999172,0.001208
4.291667,1.000721,0.001208
4.312500,0.998904,0.001208
4.333333,0.999982,0.001208
4.354167,0.999294,0.001208
4.375000,1.000124,0.001208
4.395833,1.001289,0.001208
4.416667,1.000682,0.001208
4.437500,0.999760,0.001208
4.458333,0.998588,0.001208
4.479167,1.000713,0.001208
4.500000,0.998526,0.001208
4.520833,0.998809,0.001208
4.541667,1.002799,0.001208
4.562500,1.002513,0.001208
4.583333,0.999620,0.001208
4.604167,1.000624,0.001208
4.625000,0.997632,0.001208
4.645833,0.999674,0.001208
4.666667,0.996565,0.001208
4.687500,0.998655,0.001208
4.708333,1.000950,0.001208
4.729167,0.998176,0.001208
4.750000,0.997328,0.001208
4.770833,0.998642,0.001208
4.791667,0.999517,0.001208
4.812500,0.998140,0.001208
4.833333,0.996591,0.001208
4.854167,0.997467,0.001208
4.875000,0.998045,0.001208
4.895833,0.998009,0.001208
4.916667,1.000258,0.001208
4.937500,0.998582,0.001208
4.958333,0.997805,0.001208
4.979167,0.998033,0.001208
5.000000,0.998342,0.001208
5.020833,0.996225,0.001208
5.041667,0.996996,0.001208
5.062500,0.996430,0.001208
5.083333,0.995054,0.001208
5.104167,0.996664,0.001208
5.125000,0.997113,0.001208
5.145833,0.996323,0.001208
5.166667,0.998353,0.001208
5.187500,0.998253,0.001208
5.208333,0.995278,0.001208
5.229167,0.992502,0.001208
5.250000,0.992847,0.001208
5.270833,0.994058,0.001208
5.291667,0.993020,0.001208
5.312500,0.998586,0.001208
5.333333,0.998333,0.001208
5.354167,0.999143,0.001208
5.375000,0.999214,0.001208
5.395833,0.997022,0.001208
5.416667,0.997094,0.001208
5.437500,0.999913,0.001208
5.458333,0.998718,0.001208
5.479167,0.997025,0.001208
5.500000,0.998264,0.001208
5.520833,0.998354,0.001208
5.541667,0.997596,0.001208
5.562500,0.999200,0.001208
5.583333,0.999412,0.001208
5.604167,0.996295,0.001208
5.625000,0.998243,0.001208
5.645833,0.997643,0.001208
5.666667,0.996596,0.001208
5.687500,1.001228,0.001208
5.708333,1.001119,0.001208
5.729167,0.999458,0.001208
5.750000,0.998369,0.001208
5.770833,0.997948,0.001208
5.791667,1.000417,0.001208
5.812500,0.999677,0.001208
5.833333,1.001445,0.001208
5.854167,0.998886,0.001208
5.875000,1.000995,0.001208
5.895833,0.998265,0.001208
5.916667,0.998532,0.001208
5.937500,0.999644,0.001208
5.958333,0.999665,0.001208
5.979167,0.999326,0.001208
6.000000,0.999109,0.001208
6.020833,0.999845,0.001208
6.041667,1.000715,0.001208
6.062500,1.000195,0.001208
6.083333,0.997742,0.001208
6.104167,0.995181,0.001208
6.125000,0.997382,0.001208
6.145833,0.999419,0.001208
6.166667,0.997849,0.001208
6.187500,0.996805,0.001208
6.208333,0.993491,0.001208
6.229167,0.997403,0.001208
6.250000,0.998188,0.001208
6.270833,0.998434,0.001208
6.291667,0.997951,0.001208
6.312500,0.998587,0.001208
6.333333,0.998300,0.001208
6.354167,0.995443,0.001208
6.375000,0.997680,0.001208
6.395833,0.999129,0.001208
6.416667,0.995834,0.001208
6.437500,0.999434,0.001208
6.458333,0.997497,0.001208
6.479167,0.996312,0.001208
6.500000,0.995300,0.001208
6.520833,0.995954,0.001208
6.541667,0.998037,0.001208
6.562500,0.997287,0.001208
6.583333,0.997235,0.001208
6.604167,0.997099,0.001208
6.625000,0.995123,0.001208
6.645833,0.996552,0.001208
6.666667,0.994901,0.001208
6.687500,0.998771,0.001208
6.708333,0.997808,0.001208
6.729167,0.999795,0.001208
6.750000,0.996298,0.001208
6.770833,0.997462,0.001208
6.791667,0.997286,0.001208
6.812500,0.998844,0.001208
6.833333,0.994014,0.001208
6.854167,0.996569,0.001208
6.875000,0.995663,0.001208
6.895833,0.996239,0.001208
6.916667,0.996642,0.001208
6.937500,0.995915,0.001208
6.958333,0.998754,0.001208
6.979167,0.997266,0.001208
7.000000,0.996959,0.001208
7.020833,0.995983,0.001208
7.041667,0.997188,0.001208
7.062500,0.997845,0.001208
7.083333,1.001657,0.001208
7.104167,0.998380,0.001208
7.125000,1.000852,0.001208
7.145833,1.000583,0.001208
7.166667,1.000951,0.001208
7.187500,0.997706,0.001208
7.208333,0.999391,0.001208
7.229167,0.999591,0.001208
7.250000,0.997375,0.001208
7.270833,0.998141,0.001208
7.291667,0.998070,0.001208
7.312500,0.997902,0.001208
7.333333,0.998615,0.001208
7.354167,0.999742,0.001208
7.375000,1.000995,0.001208
7.395833,0.998202,0.001208
7.416667,0.998598,0.001208
7.437500,0.999939,0.001208
7.458333,0.999264,0.001208
7.479167,0.999218,0.001208
7.500000,1.000121,0.001208
7.520833,0.998891,0.001208
7.541667,0.998692,0.001208
7.562500,0.999044,0.001208
7.583333,0.999989,0.001208
7.604167,1.000723,0.001208
7.625000,0.997726,0.001208
7.645833,0.998979,0.001208
7.666667,1.000417,0.001208
7.687500,0.999589,0.001208
7.708333,0.997753,0.001208
7.729167,0.996460,0.001208
7.750000,0.997255,0.001208
7.770833,0.998051,0.001208
7.791667,0.996977,0.001208
7.812500,0.996924,0.001208
7.833333,0.996203,0.001208
7.854167,0.999273,0.001208
7.875000,0.996463,0.001208
7.895833,0.996220,0.001208
7.916667,0.997894,0.001208
7.937500,0.996975,0.001208
7.958333,0.997015,0.001208
7.979167,0.998005,0.001208
8.000000,0.999504,0.001208
8.020833,1.000767,0.001208
8.041667,1.001228,0.001208
8.062500,0.997617,0.001208
8.083333,0.999594,0.001208
8.104167,0.998255,0.001208
8.125000,0.998254,0.001208
8.145833,1.001429,0.001208
8.166667,0.999610,0.001208
8.187500,0.999121,0.001208
8.208333,0.998816,0.001208
8.229167,0.997470,0.001208
8.250000,0.998693,0.001208
8.270833,0.999109,0.001208
8.291667,0.998537,0.001208
8.312500,1.001554,0.001208
8.333333,1.001267,0.001208
8.354167,0.999182,0.001208
8.375000,0.998036,0.001208
8.395833,0.998916,0.001208
8.416667,0.997847,0.001208
8.437500,0.997939,0.001208
8.458333,0.995301,0.001208
8.479167,0.997153,0.001208
8.500000,0.996139,0.001208
8.520833,0.996981,0.001208
8.541667,0.999557,0.001208
8.562500,1.000031,0.001208
8.583333,0.998857,0.001208
8.604167,0.998111,0.001208
8.625000,0.997704,0.001208
8.645833,0.998235,0.001208
8.666667,0.999511,0.001208
8.687500,0.999979,0.001208
8.708333,1.000137,0.001208
8.729167,0.997062,0.001208
8.750000,0.995801,0.001208
8.770833,0.997989,0.001208
8.791667,0.998007,0.001208
8.812500,0.996211,0.001208
8.833333,0.998488,0.001208
8.854167,0.996019,0.001208
8.875000,0.998559,0.001208
8.895833,0.998418,0.001208
8.916667,0.994211,0.001208
8.937500,0.998325,0.001208
8.958333,0.998618,0.001208
8.979167,0.995635,0.001208
9.000000,0.997549,0.001208
9.020833,0.999446,0.001208
9.041667,0.997406,0.001208
9.062500,0.999649,0.001208
9.083333,0.997957,0.001208
9.104167,0.997482,0.001208
9.125000,0.998086,0.001208
9.145833,0.996248,0.001208
9.166667,0.999059,0.001208
9.187500,1.000137,0.001208
9.208333,0.997784,0.001208
9.229167,0.998767,0.001208
9.250000,0.999478,0.001208
9.270833,1.000689,0.001208
9.291667,1.001555,0.001208
9.312500,1.001223,0.001208
9.333333,0.996378,0.001208
9.354167,0.998988,0.001208
9.375000,0.998630,0.001208
9.395833,0.998742,0.001208
9.416667,0.996815,0.001208
9.437500,0.999485,0.001208
9.458333,0.998970,0.001208
9.479167,0.998609,0.001208
9.500000,0.998713,0.001208
9.520833,0.998624,0.001208
9.541667,1.000690,0.001208
9.562500,0.998473,0.001208
9.583333,1.000451,0.001208
9.604167,1.001030,0.001208
9.625000,1.001067,0.001208
9.645833,1.001815,0.001208
9.666667,0.999197,0.001208
9.687500,0.998959,0.001208
9.708333,0.997945,0.001208
9.729167,0.997757,0.001208
9.750000,0.996576,0.001208
9.770833,0.997233,0.001208
9.791667,0.999371,0.001208
9.812500,1.001002,0.001208
9.833333,1.000347,0.001208
9.854167,0.999025,0.001208
9.875000,0.996921,0.001208
9.895833,0.998821,0.001208
9.916667,0.997230,0.001208
9.937500,1.001756,0.001208
9.958333,1.002112,0.001208
9.979167,0.998067,0.001208
10.000000,0.999258,0.001208
10.020833,1.001418,0.001208
10.041667,1.000683,0.001208
10.062500,1.000702,0.001208
10.083333,0.999963,0.001208
10.104167,1.000401,0.001208
10.125000,0.997566,0.001208
10.145833,1.002404,0.001208
10.166667,0.999802,0.001208
10.187500,0.998484,0.001208
10.208333,1.000391,0.001208
10.229167,0.998778,0.001208
10.250000,0.996245,0.001208
10.270833,0.998680,0.001208
10.291667,0.995948,0.001208
10.312500,1.000044,0.001208
10.333333,1.001375,0.001208
10.354167,0.998944,0.001208
10.375000,1.001495,0.001208
10.395833,1.002375,0.001208
10.416667,1.000055,0.001208
10.437500,0.995810,0.001208
10.458333,0.995827,0.001208
10.479167,0.997461,0.001208
10.500000,0.996198,0.001208
10.520833,1.000419,0.001208
10.541667,1.000847,0.001208
10.562500,1.003126,0.001208
10.583333,1.002784,0.001208
10.604167,1.003206,0.001208
10.625000,1.001191,0.001208
10.645833,0.999615,0.001208
10.666667,1.000551,0.001208
10.687500,0.998550,0.001208
10.708333,1.000597,0.001208
10.729167,0.998738,0.001208
10.750000,0.996355,0.001208
10.770833,0.995674,0.001208
10.791667,0.996914,0.001208
10.812500,0.997699,0.001208
10.833333,0.997044,0.001208
10.854167,0.996237,0.001208
10.875000,0.998811,0.001208
10.895833,0.997432,0.001208
10.916667,0.996214,0.001208
10.937500,0.999199,0.001208
10.958333,0.998386,0.001208
10.979167,0.998821,0.001208
11.000000,0.999476,0.001208
11.020833,0.999253,0.001208
11.041667,1.000013,0.001208
11.062500,0.999149,0.001208
11.083333,0.999676,0.001208
11.104167,1.001002,0.001208
11.125000,0.998903,0.001208
11.145833,1.000483,0.001208
11.166667,0.997366,0.001208
11.187500,0.997918,0.001208
