# alert ephemeris (community pipeline, approximate): P_alert = 3.63 d, t0_alert = 3.9 d
t_days,flux_rel,sigma_flux
0.000000,1.000098,0.001198
0.020833,0.999044,0.001198
0.041667,1.001169,0.001198
0.062500,0.999533,0.001198
0.083333,1.000358,0.001198
0.104167,1.000768,0.001198
0.125000,1.001209,0.001198
0.145833,1.001427,0.001198
0.166667,1.000989,0.001198
0.187500,1.001763,0.001198
0.208333,1.001701,0.001198
0.229167,0.997030,0.001198
0.250000,0.994983,0.001198
0.270833,0.993256,0.001198
0.291667,0.996155,0.001198
0.312500,1.000769,0.001198
0.333333,0.999692,0.001198
0.354167,1.001869,0.001198
0.375000,1.000531,0.001198
0.395833,1.002589,0.001198
0.416667,1.001514,0.001198
0.437500,1.000140,0.001198
0.458333,1.000946,0.001198
0.479167,0.999115,0.001198
0.500000,1.001552,0.001198
0.520833,0.999454,0.001198
0.541667,0.997145,0.001198
0.562500,1.000169,0.001198
0.583333,0.997941,0.001198
0.604167,0.999242,0.001198
0.625000,0.998897,0.001198
0.645833,0.999690,0.001198
0.666667,1.000563,0.001198
0.687500,1.001731,0.001198
0.708333,0.998594,0.001198
0.729167,0.998739,0.001198
0.750000,1.000155,0.001198
0.770833,1.001134,0.001198
0.791667,1.000017,0.001198
0.812500,1.000928,0.001198
0.833333,0.998892,0.001198
0.854167,0.998966,0.001198
0.875000,0.999315,0.001198
0.895833,1.000037,0.001198
0.916667,0.998633,0.001198
0.937500,0.999400,0.001198
0.958333,0.998523,0.001198
0.979167,1.001810,0.001198
1.000000,1.000717,0.001198
1.020833,1.001173,0.001198
1.041667,1.000683,0.001198
1.062500,0.999515,0.001198
1.083333,1.000337,0.001198
1.104167,0.997319,0.001198
1.125000,1.000021,0.001198
1.145833,0.999126,0.001198
1.166667,0.997892,0.001198
1.187500,1.000751,0.001198
1.208333,1.001200,0.001198
1.229167,1.000642,0.001198
1.250000,1.000018,0.001198
1.270833,1.000997,0.001198
1.291667,0.999469,0.001198
1.312500,0.998055,0.001198
1.333333,1.000775,0.001198
1.354167,0.999025,0.001198
1.375000,1.001942,0.001198
1.395833,1.001669,0.001198
1.416667,1.001203,0.001198
1.437500,1.000513,0.001198
1.458333,0.998003,0.001198
1.479167,0.999800,0.001198
1.500000,1.000362,0.001198
1.520833,0.999026,0.001198
1.541667,1.001196,0.001198
1.562500,1.000099,0.001198
1.583333,0.999625,0.001198
1.604167,1.000849,0.001198
1.625000,0.999640,0.001198
1.645833,0.999212,0.001198
1.666667,0.997787,0.001198
1.687500,0.996939,0.001198
1.708333,0.999573,0.001198
1.729167,0.998761,0.001198
1.750000,0.999162,0.001198
1.770833,0.998898,0.001198
1.791667,0.997746,0.001198
1.812500,1.001754,0.001198
1.833333,0.998409,0.001198
1.854167,0.996275,0.001198
1.875000,0.997236,0.001198
1.895833,0.995965,0.001198
1.916667,0.997489,0.001198
1.937500,0.997298,0.001198
