# alert ephemeris (community pipeline, approximate): P_alert = 3.82 d, t0_alert = 2.4 d
t_days,flux_rel,sigma_flux
0.000000,1.001935,0.001592
0.020833,1.000414,0.001592
0.041667,0.999175,0.001592
0.062500,0.997610,0.001592
0.083333,1.000267,0.001592
0.104167,0.997151,0.001592
0.125000,0.995557,0.001592
0.145833,0.997773,0.001592
0.166667,0.996802,0.001592
0.187500,0.998311,0.001592
0.208333,0.995969,0.001592
0.229167,1.002556,0.001592
0.250000,1.002324,0.001592
0.270833,1.001168,0.001592
0.291667,1.005505,0.001592
0.312500,1.001456,0.001592
0.333333,1.001515,0.001592
0.354167,0.999755,0.001592
0.375000,0.999927,0.001592
0.395833,1.000215,0.001592
0.416667,0.999106,0.001592
0.437500,1.003401,0.001592
0.458333,1.002001,0.001592
0.479167,1.001292,0.001592
0.500000,0.999817,0.001592
0.520833,1.000476,0.001592
0.541667,1.003038,0.001592
0.562500,0.999724,0.001592
0.583333,1.001765,0.001592
0.604167,1.000570,0.001592
0.625000,1.000988,0.001592
0.645833,1.002945,0.001592
0.666667,1.000732,0.001592
0.687500,1.002300,0.001592
0.708333,1.003074,0.001592
0.729167,1.001687,0.001592
0.750000,1.003999,0.001592
0.770833,1.004643,0.001592
0.791667,1.001437,0.001592
0.812500,1.000441,0.001592
0.833333,1.000492,0.001592
0.854167,0.997500,0.001592
0.875000,1.003266,0.001592
0.895833,1.001275,0.001592
0.916667,0.998403,0.001592
0.937500,1.002174,0.001592
0.958333,1.001900,0.001592
0.979167,1.002400,0.001592
1.000000,1.000053,0.001592
1.020833,1.003532,0.001592
1.041667,1.003614,0.001592
1.062500,1.001760,0.001592
1.083333,1.005280,0.001592
1.104167,0.999124,0.001592
1.125000,1.004041,0.001592
1.145833,1.004881,0.001592
1.166667,1.003450,0.001592
1.187500,1.005115,0.001592
1.208333,1.002536,0.001592
1.229167,1.003498,0.001592
1.250000,1.000438,0.001592
1.270833,1.000077,0.001592
1.291667,0.999886,0.001592
1.312500,1.002747,0.001592
1.333333,1.003828,0.001592
1.354167,1.001659,0.001592
1.375000,1.001756,0.001592
1.395833,0.999765,0.001592
1.416667,0.998439,0.001592
1.437500,0.999056,0.001592
1.458333,0.998604,0.001592
1.479167,1.000962,0.001592
1.500000,1.000474,0.001592
1.520833,1.003123,0.001592
1.541667,0.997877,0.001592
1.562500,1.000967,0.001592
1.583333,0.999760,0.001592
1.604167,1.001735,0.001592
1.625000,0.996944,0.001592
1.645833,0.999829,0.001592
1.666667,1.000706,0.001592
1.687500,1.001159,0.001592
1.708333,1.001940,0.001592
