# alert ephemeris (community pipeline, approximate): P_alert = 3.07 d, t0_alert = 1.0 d
t_days,flux_rel,sigma_flux
0.000000,0.993529,0.000960
0.020833,0.995687,0.000960
0.041667,0.994424,0.000960
0.062500,0.993892,0.000960
0.083333,0.991572,0.000960
0.104167,0.991992,0.000960
0.125000,0.992501,0.000960
0.145833,0.994651,0.000960
0.166667,0.992854,0.000960
0.187500,0.992203,0.000960
0.208333,0.995592,0.000960
0.229167,0.994440,0.000960
0.250000,0.993565,0.000960
0.270833,0.993561,0.000960
0.291667,0.992898,0.000960
0.312500,0.995201,0.000960
0.333333,0.992884,0.000960
0.354167,0.993791,0.000960
0.375000,0.995635,0.000960
0.395833,0.994720,0.000960
0.416667,0.995272,0.000960
0.437500,0.998084,0.000960
0.458333,0.996039,0.000960
0.479167,0.996400,0.000960
0.500000,0.993628,0.000960
0.520833,0.994317,0.000960
0.541667,0.994539,0.000960
0.562500,0.995985,0.000960
0.583333,0.994190,0.000960
0.604167,0.994164,0.000960
0.625000,0.995590,0.000960
0.645833,0.995119,0.000960
0.666667,0.995173,0.000960
0.687500,0.995234,0.000960
0.708333,0.995129,0.000960
0.729167,0.996715,0.000960
0.750000,0.995012,0.000960
0.770833,0.993776,0.000960
0.791667,0.993016,0.000960
0.812500,0.994779,0.000960
0.833333,0.996307,0.000960
0.854167,0.995903,0.000960
0.875000,0.996336,0.000960
0.895833,0.995883,0.000960
0.916667,0.995549,0.000960
0.937500,0.994474,0.000960
0.958333,0.993212,0.000960
0.979167,0.993731,0.000960
1.000000,0.994483,0.000960
1.020833,0.993142,0.000960
1.041667,0.993154,0.000960
1.062500,0.997136,0.000960
1.083333,0.996849,0.000960
1.104167,0.998955,0.000960
1.125000,0.998212,0.000960
1.145833,0.995695,0.000960
1.166667,0.998546,0.000960
1.187500,0.997897,0.000960
1.208333,0.999463,0.000960
1.229167,0.998982,0.000960
1.250000,0.996788,0.000960
1.270833,0.997678,0.000960
1.291667,0.997232,0.000960
1.312500,0.999026,0.000960
1.333333,1.000021,0.000960
1.354167,0.999680,0.000960
1.375000,0.999029,0.000960
1.395833,0.997357,0.000960
1.416667,0.996945,0.000960
1.437500,0.997598,0.000960
1.458333,0.998106,0.000960
1.479167,0.998437,0.000960
1.500000,0.997987,0.000960
1.520833,0.996632,0.000960
1.541667,0.998130,0.000960
1.562500,0.997463,0.000960
