# alert ephemeris (community pipeline, approximate): P_alert = 6.45 d, t0_alert = 2.8 d
t_days,flux_rel,sigma_flux
0.000000,1.002286,0.001078
0.020833,1.001792,0.001078
0.041667,1.001759,0.001078
0.062500,1.003029,0.001078
0.083333,1.000783,0.001078
0.104167,1.001603,0.001078
0.125000,1.000793,0.001078
0.145833,1.001322,0.001078
0.166667,1.001786,0.001078
0.187500,1.001776,0.001078
0.208333,1.003727,0.001078
0.229167,1.000711,0.001078
0.250000,1.002811,0.001078
0.270833,1.000262,0.001078
0.291667,0.998963,0.001078
0.312500,1.000536,0.001078
0.333333,1.002159,0.001078
0.354167,1.001437,0.001078
0.375000,1.006305,0.001078
0.395833,1.001144,0.001078
0.416667,1.001923,0.001078
0.437500,1.001898,0.001078
0.458333,1.002108,0.001078
0.479167,1.001325,0.001078
0.500000,1.001913,0.001078
0.520833,1.002464,0.001078
0.541667,1.001205,0.001078
0.562500,1.000902,0.001078
0.583333,1.000307,0.001078
0.604167,1.000470,0.001078
0.625000,1.002658,0.001078
0.645833,1.001000,0.001078
0.666667,1.000307,0.001078
0.687500,0.997876,0.001078
0.708333,1.002092,0.001078
0.729167,1.001679,0.001078
0.750000,1.002987,0.001078
0.770833,1.002678,0.001078
0.791667,0.998692,0.001078
0.812500,1.001308,0.001078
0.833333,1.000977,0.001078
0.854167,1.001322,0.001078
0.875000,1.000664,0.001078
0.895833,0.997837,0.001078
0.916667,1.001170,0.001078
0.937500,1.000473,0.001078
0.958333,0.999880,0.001078
0.979167,1.000735,0.001078
1.000000,0.998478,0.001078
1.020833,0.999629,0.001078
1.041667,1.001731,0.001078
1.062500,1.002054,0.001078
1.083333,1.002321,0.001078
1.104167,1.001165,0.001078
1.125000,0.999499,0.001078
1.145833,1.002217,0.001078
1.166667,1.000182,0.001078
1.187500,1.000417,0.001078
1.208333,1.000596,0.001078
1.229167,1.000521,0.001078
1.250000,0.999971,0.001078
1.270833,1.003394,0.001078
1.291667,1.000117,0.001078
1.312500,1.000518,0.001078
1.333333,1.000271,0.001078
1.354167,1.001388,0.001078
1.375000,1.001858,0.001078
1.395833,1.001430,0.001078
1.416667,1.003028,0.001078
1.437500,1.002772,0.001078
1.458333,1.002759,0.001078
1.479167,1.001039,0.001078
1.500000,1.001819,0.001078
1.520833,1.000388,0.001078
1.541667,1.001181,0.001078
1.562500,1.000635,0.001078
1.583333,1.001904,0.001078
1.604167,0.998911,0.001078
1.625000,0.999532,0.001078
1.645833,1.000719,0.001078
1.666667,1.002281,0.001078
1.687500,1.000742,0.001078
1.708333,0.999862,0.001078
1.729167,0.999865,0.001078
1.750000,1.000014,0.001078
1.770833,1.001260,0.001078
1.791667,1.001180,0.001078
1.812500,1.003134,0.001078
1.833333,1.001157,0.001078
1.854167,1.001538,0.001078
1.875000,1.002320,0.001078
1.895833,1.003683,0.001078
1.916667,1.003488,0.001078
1.937500,1.003332,0.001078
1.958333,1.002232,0.001078
1.979167,1.001693,0.001078
2.000000,1.003496,0.001078
2.020833,1.002147,0.001078
2.041667,1.002799,0.001078
2.062500,1.000061,0.001078
2.083333,1.000334,0.001078
2.104167,0.999753,0.001078
2.125000,0.998985,0.001078
2.145833,0.998578,0.001078
2.166667,0.998821,0.001078
2.187500,1.000980,0.001078
2.208333,1.000099,0.001078
2.229167,1.001039,0.001078
2.250000,1.000404,0.001078
2.270833,1.001690,0.001078
2.291667,1.001614,0.001078
2.312500,0.999861,0.001078
2.333333,1.001054,0.001078
2.354167,1.001012,0.001078
2.375000,0.999271,0.001078
2.395833,1.000482,0.001078
2.416667,0.999406,0.001078
2.437500,1.000469,0.001078
2.458333,0.999931,0.001078
2.479167,1.000183,0.001078
2.500000,1.000230,0.001078
2.520833,0.999955,0.001078
2.541667,0.999368,0.001078
2.562500,0.995952,0.001078
2.583333,0.999699,0.001078
2.604167,0.998925,0.001078
2.625000,0.997263,0.001078
2.645833,0.997352,0.001078
2.666667,0.996031,0.001078
2.687500,0.999939,0.001078
2.708333,0.998636,0.001078
2.729167,0.998949,0.001078
2.750000,1.000621,0.001078
2.770833,0.997863,0.001078
2.791667,0.996000,0.001078
2.812500,0.995046,0.001078
2.833333,0.995173,0.001078
2.854167,0.998146,0.001078
2.875000,1.000115,0.001078
2.895833,0.997888,0.001078
2.916667,0.998621,0.001078
2.937500,0.998066,0.001078
2.958333,0.998025,0.001078
2.979167,1.000071,0.001078
3.000000,0.998540,0.001078
3.020833,0.998919,0.001078
3.041667,0.997768,0.001078
3.062500,0.997732,0.001078
3.083333,0.997209,0.001078
3.104167,0.998939,0.001078
3.125000,0.998662,0.001078
3.145833,0.998454,0.001078
3.166667,0.999031,0.001078
3.187500,0.998637,0.001078
3.208333,0.997929,0.001078
3.229167,0.996613,0.001078
3.250000,0.995795,0.001078
3.270833,0.996664,0.001078
3.291667,0.998435,0.001078
3.312500,0.997904,0.001078
3.333333,0.996339,0.001078
3.354167,0.995896,0.001078
3.375000,0.995645,0.001078
3.395833,0.995632,0.001078
3.416667,0.995414,0.001078
3.437500,0.998110,0.001078
3.458333,0.997135,0.001078
3.479167,0.998540,0.001078
3.500000,0.999855,0.001078
3.520833,0.998235,0.001078
3.541667,0.998965,0.001078
3.562500,0.999714,0.001078
3.583333,0.997475,0.001078
3.604167,0.998215,0.001078
3.625000,0.998603,0.001078
3.645833,1.001500,0.001078
3.666667,0.997967,0.001078
3.687500,1.000900,0.001078
3.708333,0.999107,0.001078
3.729167,0.998427,0.001078
3.750000,0.999154,0.001078
3.770833,0.998640,0.001078
3.791667,0.999153,0.001078
3.812500,1.000624,0.001078
3.833333,1.001266,0.001078
3.854167,0.999398,0.001078
3.875000,1.000358,0.001078
3.895833,0.999779,0.001078
3.916667,0.999881,0.001078
3.937500,1.001656,0.001078
3.958333,1.000221,0.001078
3.979167,0.999558,0.001078
4.000000,0.998633,0.001078
4.020833,0.999667,0.001078
4.041667,0.999603,0.001078
4.062500,0.998754,0.001078
4.083333,0.999144,0.001078
4.104167,0.998479,0.001078
4.125000,0.999483,0.001078
4.145833,0.996854,0.001078
4.166667,0.998804,0.001078
4.187500,0.996784,0.001078
4.208333,0.999729,0.001078
4.229167,0.998776,0.001078
4.250000,0.997153,0.001078
4.270833,0.997871,0.001078
4.291667,0.997068,0.001078
4.312500,0.996840,0.001078
4.333333,0.999008,0.001078
4.354167,1.000594,0.001078
4.375000,0.999860,0.001078
4.395833,0.997458,0.001078
4.416667,0.998406,0.001078
4.437500,0.998976,0.001078
4.458333,0.999289,0.001078
4.479167,0.998039,0.001078
4.500000,0.997300,0.001078
4.520833,1.000640,0.001078
