# alert ephemeris (community pipeline, approximate): P_alert = 6.67 d, t0_alert = 5.4 d
t_days,flux_rel,sigma_flux
0.000000,1.002654,0.000803
0.020833,1.003627,0.000803
0.041667,1.003394,0.000803
0.062500,1.003101,0.000803
0.083333,1.002635,0.000803
0.104167,1.001054,0.000803
0.125000,1.002995,0.000803
0.145833,1.002161,0.000803
0.166667,1.002368,0.000803
0.187500,1.000864,0.000803
0.208333,1.001421,0.000803
0.229167,1.002551,0.000803
0.250000,1.001215,0.000803
0.270833,0.999928,0.000803
0.291667,1.000526,0.000803
0.312500,0.999173,0.000803
0.333333,0.999155,0.000803
0.354167,0.998628,0.000803
0.375000,1.001183,0.000803
0.395833,1.000845,0.000803
0.416667,0.998874,0.000803
0.437500,1.000724,0.000803
0.458333,1.000281,0.000803
0.479167,0.999885,0.000803
0.500000,0.999712,0.000803
0.520833,0.998264,0.000803
0.541667,0.999549,0.000803
0.562500,0.999824,0.000803
0.583333,0.998543,0.000803
0.604167,0.999659,0.000803
0.625000,0.999471,0.000803
0.645833,0.998308,0.000803
0.666667,0.998595,0.000803
0.687500,0.999212,0.000803
0.708333,0.996917,0.000803
0.729167,0.999427,0.000803
0.750000,0.997996,0.000803
0.770833,0.998712,0.000803
0.791667,0.998059,0.000803
0.812500,0.999090,0.000803
0.833333,0.999170,0.000803
0.854167,0.999036,0.000803
0.875000,1.001135,0.000803
0.895833,0.997063,0.000803
0.916667,0.999160,0.000803
0.937500,0.998933,0.000803
0.958333,0.997136,0.000803
0.979167,0.998161,0.000803
1.000000,0.999231,0.000803
1.020833,0.999049,0.000803
1.041667,1.000171,0.000803
1.062500,1.000081,0.000803
1.083333,0.999596,0.000803
1.104167,1.000712,0.000803
1.125000,0.999938,0.000803
1.145833,0.998923,0.000803
1.166667,0.998733,0.000803
1.187500,0.998761,0.000803
1.208333,0.998475,0.000803
1.229167,0.996191,0.000803
1.250000,0.996990,0.000803
1.270833,0.998712,0.000803
1.291667,0.997547,0.000803
1.312500,0.998240,0.000803
1.333333,0.997337,0.000803
1.354167,0.999711,0.000803
1.375000,0.996406,0.000803
1.395833,0.997617,0.000803
1.416667,0.995200,0.000803
1.437500,0.997019,0.000803
1.458333,0.995381,0.000803
1.479167,0.998304,0.000803
1.500000,0.998006,0.000803
1.520833,0.998520,0.000803
1.541667,0.997051,0.000803
1.562500,0.997112,0.000803
1.583333,0.996279,0.000803
1.604167,0.997561,0.000803
1.625000,0.996952,0.000803
1.645833,0.995798,0.000803
1.666667,0.996979,0.000803
1.687500,0.997792,0.000803
1.708333,0.996503,0.000803
1.729167,0.997836,0.000803
1.750000,0.997874,0.000803
1.770833,0.997319,0.000803
1.791667,0.997902,0.000803
1.812500,0.997759,0.000803
1.833333,0.998259,0.000803
1.854167,0.997541,0.000803
1.875000,0.997777,0.000803
1.895833,0.996686,0.000803
1.916667,0.997324,0.000803
1.937500,0.995464,0.000803
1.958333,0.996349,0.000803
1.979167,0.998361,0.000803
2.000000,0.998131,0.000803
2.020833,1.000204,0.000803
2.041667,1.000467,0.000803
2.062500,0.997518,0.000803
2.083333,0.998579,0.000803
2.104167,0.998791,0.000803
2.125000,0.997841,0.000803
2.145833,0.997888,0.000803
2.166667,0.994657,0.000803
2.187500,0.997944,0.000803
2.208333,0.996873,0.000803
2.229167,0.997215,0.000803
2.250000,0.996824,0.000803
2.270833,0.995049,0.000803
2.291667,0.995837,0.000803
2.312500,0.997165,0.000803
2.333333,0.996199,0.000803
2.354167,0.998139,0.000803
2.375000,0.998427,0.000803
2.395833,0.997378,0.000803
2.416667,0.996604,0.000803
2.437500,0.997317,0.000803
2.458333,0.999011,0.000803
2.479167,0.997951,0.000803
2.500000,0.998924,0.000803
2.520833,0.998308,0.000803
2.541667,0.998083,0.000803
2.562500,0.998042,0.000803
2.583333,0.999100,0.000803
2.604167,0.999889,0.000803
2.625000,0.998747,0.000803
2.645833,0.997756,0.000803
2.666667,1.000229,0.000803
2.687500,0.998778,0.000803
2.708333,0.998817,0.000803
2.729167,0.999307,0.000803
2.750000,0.998291,0.000803
2.770833,0.998627,0.000803
2.791667,0.998612,0.000803
2.812500,0.999786,0.000803
2.833333,0.999907,0.000803
2.854167,0.997052,0.000803
2.875000,0.997642,0.000803
2.895833,0.997784,0.000803
2.916667,0.999441,0.000803
2.937500,0.998146,0.000803
2.958333,1.000149,0.000803
2.979167,0.997195,0.000803
3.000000,0.998218,0.000803
3.020833,0.998494,0.000803
3.041667,0.998831,0.000803
3.062500,0.996599,0.000803
3.083333,0.996271,0.000803
3.104167,0.996061,0.000803
3.125000,0.995527,0.000803
3.145833,0.995653,0.000803
3.166667,0.997149,0.000803
3.187500,0.995490,0.000803
3.208333,0.997632,0.000803
3.229167,0.996663,0.000803
3.250000,0.997525,0.000803
3.270833,0.995783,0.000803
3.291667,0.997589,0.000803
3.312500,0.998293,0.000803
3.333333,0.998145,0.000803
3.354167,0.996962,0.000803
3.375000,0.997321,0.000803
3.395833,0.997562,0.000803
3.416667,0.997089,0.000803
3.437500,0.996664,0.000803
3.458333,0.998246,0.000803
3.479167,0.997035,0.000803
3.500000,0.998651,0.000803
3.520833,1.000570,0.000803
3.541667,1.000181,0.000803
3.562500,0.997794,0.000803
3.583333,0.997128,0.000803
3.604167,0.999868,0.000803
3.625000,0.999420,0.000803
3.645833,0.998312,0.000803
3.666667,0.998787,0.000803
3.687500,1.000941,0.000803
3.708333,1.000056,0.000803
3.729167,0.999138,0.000803
3.750000,0.998699,0.000803
3.770833,0.998618,0.000803
3.791667,1.000082,0.000803
3.812500,0.998554,0.000803
3.833333,0.996849,0.000803
3.854167,0.999675,0.000803
3.875000,0.998638,0.000803
3.895833,0.998373,0.000803
3.916667,0.999179,0.000803
3.937500,0.998531,0.000803
3.958333,0.999717,0.000803
3.979167,1.000626,0.000803
4.000000,0.997670,0.000803
4.020833,0.998928,0.000803
4.041667,0.996905,0.000803
4.062500,0.998394,0.000803
4.083333,0.997886,0.000803
4.104167,0.997444,0.000803
4.125000,0.998049,0.000803
4.145833,0.997755,0.000803
4.166667,0.998277,0.000803
4.187500,0.999056,0.000803
4.208333,0.997527,0.000803
4.229167,0.998632,0.000803
4.250000,0.996855,0.000803
4.270833,0.998289,0.000803
4.291667,0.998237,0.000803
4.312500,0.999828,0.000803
4.333333,0.998587,0.000803
4.354167,0.999482,0.000803
4.375000,0.998914,0.000803
4.395833,0.998355,0.000803
4.416667,0.999563,0.000803
4.437500,0.996659,0.000803
4.458333,0.998161,0.000803
4.479167,0.997283,0.000803
4.500000,0.997205,0.000803
