# alert ephemeris (community pipeline, approximate): P_alert = 3.11 d, t0_alert = 2.8 d
t_days,flux_rel,sigma_flux
0.000000,1.000637,0.001444
0.020833,1.002326,0.001444
0.041667,1.002613,0.001444
0.062500,1.000943,0.001444
0.083333,1.000842,0.001444
0.104167,1.002270,0.001444
0.125000,1.001868,0.001444
0.145833,1.002865,0.001444
0.166667,0.997539,0.001444
0.187500,1.000717,0.001444
0.208333,0.999356,0.001444
0.229167,0.999168,0.001444
0.250000,0.998465,0.001444
0.270833,0.999571,0.001444
0.291667,0.997130,0.001444
0.312500,0.999032,0.001444
0.333333,0.998682,0.001444
0.354167,0.999829,0.001444
0.375000,0.997211,0.001444
0.395833,0.997891,0.001444
0.416667,0.998045,0.001444
0.437500,0.999017,0.001444
0.458333,0.997082,0.001444
0.479167,0.997750,0.001444
0.500000,0.997689,0.001444
0.520833,0.999208,0.001444
0.541667,0.996454,0.001444
0.562500,0.998455,0.001444
0.583333,0.998128,0.001444
0.604167,0.998572,0.001444
0.625000,0.996943,0.001444
0.645833,0.997075,0.001444
0.666667,0.997755,0.001444
0.687500,0.994975,0.001444
0.708333,0.997242,0.001444
0.729167,0.995916,0.001444
0.750000,0.997503,0.001444
0.770833,0.999807,0.001444
0.791667,0.999955,0.001444
0.812500,0.997668,0.001444
0.833333,0.999527,0.001444
0.854167,1.000509,0.001444
0.875000,0.999993,0.001444
0.895833,0.999591,0.001444
0.916667,0.999242,0.001444
0.937500,1.001230,0.001444
0.958333,1.001856,0.001444
0.979167,1.000470,0.001444
1.000000,1.000763,0.001444
1.020833,0.999206,0.001444
1.041667,1.001760,0.001444
1.062500,1.002257,0.001444
1.083333,1.004374,0.001444
1.104167,1.001300,0.001444
1.125000,1.000976,0.001444
1.145833,1.004079,0.001444
1.166667,1.003868,0.001444
1.187500,1.002467,0.001444
1.208333,0.999221,0.001444
1.229167,1.000733,0.001444
1.250000,1.002140,0.001444
1.270833,1.000000,0.001444
1.291667,1.001706,0.001444
1.312500,0.999387,0.001444
1.333333,1.001546,0.001444
1.354167,1.002050,0.001444
1.375000,1.000341,0.001444
1.395833,1.000529,0.001444
1.416667,0.998928,0.001444
1.437500,1.002721,0.001444
1.458333,1.002845,0.001444
1.479167,1.001426,0.001444
1.500000,0.998901,0.001444
1.520833,1.002732,0.001444
1.541667,1.002785,0.001444
1.562500,1.000861,0.001444
1.583333,1.001363,0.001444
1.604167,1.000920,0.001444
1.625000,1.002177,0.001444
1.645833,0.999430,0.001444
1.666667,0.999077,0.001444
1.687500,1.000114,0.001444
1.708333,0.997866,0.001444
1.729167,0.998118,0.001444
1.750000,0.999724,0.001444
1.770833,1.000882,0.001444
1.791667,1.001395,0.001444
1.812500,1.000456,0.001444
1.833333,1.000448,0.001444
1.854167,1.000909,0.001444
1.875000,0.999645,0.001444
