# alert ephemeris (community pipeline, approximate): P_alert = 6.87 d, t0_alert = 2.8 d
t_days,flux_rel,sigma_flux
0.000000,0.995330,0.001042
0.020833,0.995743,0.001042
0.041667,0.996324,0.001042
0.062500,0.997362,0.001042
0.083333,0.996406,0.001042
0.104167,0.997105,0.001042
0.125000,0.996091,0.001042
0.145833,0.996902,0.001042
0.166667,0.994929,0.001042
0.187500,0.996705,0.001042
0.208333,0.997080,0.001042
0.229167,0.997368,0.001042
0.250000,0.994953,0.001042
0.270833,0.997074,0.001042
0.291667,0.998771,0.001042
0.312500,0.997607,0.001042
0.333333,0.995692,0.001042
0.354167,0.997210,0.001042
0.375000,0.999221,0.001042
0.395833,0.996925,0.001042
0.416667,0.999267,0.001042
0.437500,1.000945,0.001042
0.458333,0.997731,0.001042
0.479167,0.998712,0.001042
0.500000,0.997806,0.001042
0.520833,1.000335,0.001042
0.541667,0.998638,0.001042
0.562500,0.999742,0.001042
0.583333,0.998803,0.001042
0.604167,0.998243,0.001042
0.625000,0.999000,0.001042
0.645833,0.999356,0.001042
0.666667,1.000239,0.001042
0.687500,0.998950,0.001042
0.708333,0.998974,0.001042
0.729167,0.998626,0.001042
0.750000,0.998884,0.001042
0.770833,1.001102,0.001042
0.791667,0.999307,0.001042
0.812500,1.000119,0.001042
0.833333,1.001586,0.001042
0.854167,0.999062,0.001042
0.875000,0.999762,0.001042
0.895833,0.999050,0.001042
0.916667,0.997708,0.001042
0.937500,0.997627,0.001042
0.958333,1.000450,0.001042
0.979167,0.997946,0.001042
1.000000,0.999763,0.001042
1.020833,0.998994,0.001042
1.041667,0.999208,0.001042
1.062500,0.998945,0.001042
1.083333,1.001665,0.001042
1.104167,0.999686,0.001042
1.125000,0.999930,0.001042
1.145833,0.999962,0.001042
1.166667,1.000917,0.001042
1.187500,1.000893,0.001042
1.208333,1.000053,0.001042
1.229167,1.001297,0.001042
1.250000,1.001094,0.001042
1.270833,1.001878,0.001042
1.291667,1.001144,0.001042
1.312500,0.999657,0.001042
1.333333,1.002240,0.001042
1.354167,1.003324,0.001042
1.375000,1.002702,0.001042
1.395833,1.002766,0.001042
1.416667,1.001734,0.001042
1.437500,1.003067,0.001042
1.458333,1.004207,0.001042
1.479167,1.002875,0.001042
1.500000,1.005186,0.001042
1.520833,1.003225,0.001042
1.541667,1.002034,0.001042
1.562500,1.004321,0.001042
1.583333,1.003084,0.001042
1.604167,1.002798,0.001042
1.625000,1.004369,0.001042
1.645833,1.002076,0.001042
1.666667,1.004694,0.001042
1.687500,1.000766,0.001042
1.708333,1.004561,0.001042
1.729167,1.003093,0.001042
1.750000,1.003565,0.001042
1.770833,1.004982,0.001042
1.791667,1.004360,0.001042
1.812500,1.003566,0.001042
1.833333,1.004421,0.001042
1.854167,1.004706,0.001042
1.875000,1.005591,0.001042
1.895833,1.003487,0.001042
1.916667,1.002770,0.001042
1.937500,1.005708,0.001042
1.958333,1.004823,0.001042
1.979167,1.004386,0.001042
2.000000,1.004059,0.001042
2.020833,1.003620,0.001042
2.041667,1.001508,0.001042
2.062500,1.003374,0.001042
2.083333,1.001659,0.001042
2.104167,1.002085,0.001042
2.125000,1.001838,0.001042
2.145833,1.002563,0.001042
2.166667,1.003602,0.001042
2.187500,1.000484,0.001042
2.208333,1.004969,0.001042
2.229167,1.004774,0.001042
2.250000,1.002598,0.001042
2.270833,1.002763,0.001042
2.291667,1.004552,0.001042
2.312500,1.004376,0.001042
2.333333,1.003375,0.001042
2.354167,1.004719,0.001042
2.375000,1.005731,0.001042
2.395833,1.004390,0.001042
2.416667,1.005030,0.001042
2.437500,1.003427,0.001042
2.458333,1.005457,0.001042
2.479167,1.004296,0.001042
2.500000,1.004687,0.001042
2.520833,1.004208,0.001042
2.541667,1.005407,0.001042
2.562500,1.007840,0.001042
2.583333,1.006223,0.001042
2.604167,1.005878,0.001042
2.625000,1.002604,0.001042
2.645833,1.003066,0.001042
2.666667,1.003541,0.001042
2.687500,1.004099,0.001042
2.708333,1.003399,0.001042
2.729167,1.006518,0.001042
2.750000,1.004692,0.001042
2.770833,1.002545,0.001042
2.791667,0.998969,0.001042
2.812500,1.000194,0.001042
2.833333,0.999831,0.001042
2.854167,0.998976,0.001042
2.875000,1.003121,0.001042
2.895833,1.004128,0.001042
2.916667,1.003488,0.001042
2.937500,1.004978,0.001042
2.958333,1.005473,0.001042
2.979167,1.004778,0.001042
3.000000,1.005473,0.001042
3.020833,1.005720,0.001042
