# alert ephemeris (community pipeline, approximate): P_alert = 5.97 d, t0_alert = 6.3 d
t_days,flux_rel,sigma_flux
0.000000,0.998239,0.001146
0.020833,1.000317,0.001146
0.041667,0.998457,0.001146
0.062500,0.996884,0.001146
0.083333,0.998558,0.001146
0.104167,0.999758,0.001146
0.125000,0.999168,0.001146
0.145833,0.998121,0.001146
0.166667,0.998539,0.001146
0.187500,1.001870,0.001146
0.208333,1.002380,0.001146
0.229167,1.001236,0.001146
0.250000,0.997790,0.001146
0.270833,0.999814,0.001146
0.291667,0.999306,0.001146
0.312500,0.997585,0.001146
0.333333,0.994636,0.001146
0.354167,0.997923,0.001146
0.375000,0.993855,0.001146
0.395833,0.994388,0.001146
0.416667,0.998293,0.001146
0.437500,0.998719,0.001146
0.458333,0.998048,0.001146
0.479167,1.000585,0.001146
0.500000,1.000099,0.001146
0.520833,1.001213,0.001146
0.541667,1.000932,0.001146
0.562500,1.001607,0.001146
0.583333,0.999884,0.001146
0.604167,0.999937,0.001146
0.625000,1.000542,0.001146
0.645833,0.999676,0.001146
0.666667,0.999177,0.001146
0.687500,1.001668,0.001146
0.708333,0.998023,0.001146
0.729167,0.999878,0.001146
0.750000,0.998286,0.001146
0.770833,0.999670,0.001146
0.791667,1.000984,0.001146
0.812500,0.999721,0.001146
0.833333,0.999820,0.001146
0.854167,0.999760,0.001146
0.875000,1.000561,0.001146
0.895833,1.000244,0.001146
0.916667,1.002003,0.001146
0.937500,0.998113,0.001146
0.958333,1.001784,0.001146
0.979167,1.001672,0.001146
1.000000,1.000538,0.001146
1.020833,0.999997,0.001146
1.041667,1.002520,0.001146
1.062500,1.000109,0.001146
1.083333,1.001890,0.001146
1.104167,0.998675,0.001146
1.125000,1.000327,0.001146
1.145833,0.997786,0.001146
1.166667,1.004504,0.001146
1.187500,1.001370,0.001146
1.208333,1.002715,0.001146
1.229167,1.003426,0.001146
1.250000,1.003518,0.001146
1.270833,0.999452,0.001146
1.291667,0.999921,0.001146
1.312500,1.001294,0.001146
1.333333,1.001793,0.001146
1.354167,1.001261,0.001146
1.375000,1.002337,0.001146
1.395833,1.000982,0.001146
1.416667,1.001367,0.001146
1.437500,1.001665,0.001146
1.458333,0.999038,0.001146
1.479167,1.000683,0.001146
1.500000,0.999385,0.001146
1.520833,1.001605,0.001146
1.541667,0.997424,0.001146
1.562500,0.998380,0.001146
1.583333,1.000060,0.001146
1.604167,0.999200,0.001146
1.625000,1.000575,0.001146
1.645833,1.001160,0.001146
1.666667,1.001308,0.001146
1.687500,0.999528,0.001146
1.708333,1.001022,0.001146
1.729167,0.999377,0.001146
1.750000,1.001038,0.001146
1.770833,0.999993,0.001146
1.791667,0.998029,0.001146
1.812500,1.000733,0.001146
1.833333,1.000265,0.001146
1.854167,0.998904,0.001146
1.875000,1.001832,0.001146
1.895833,1.000588,0.001146
1.916667,0.999748,0.001146
1.937500,1.002432,0.001146
1.958333,1.002767,0.001146
1.979167,0.999143,0.001146
2.000000,1.002041,0.001146
2.020833,0.999698,0.001146
2.041667,1.001633,0.001146
2.062500,0.999155,0.001146
2.083333,0.999132,0.001146
2.104167,1.002476,0.001146
2.125000,0.999912,0.001146
2.145833,1.001236,0.001146
2.166667,1.000676,0.001146
2.187500,0.999751,0.001146
2.208333,0.999553,0.001146
2.229167,1.000725,0.001146
2.250000,0.999849,0.001146
2.270833,1.001805,0.001146
2.291667,0.999312,0.001146
2.312500,1.001062,0.001146
2.333333,1.000402,0.001146
2.354167,1.001401,0.001146
2.375000,1.001124,0.001146
2.395833,1.002105,0.001146
2.416667,0.999309,0.001146
2.437500,1.002454,0.001146
2.458333,1.001627,0.001146
2.479167,0.999608,0.001146
2.500000,1.001479,0.001146
