# alert ephemeris (community pipeline, approximate): P_alert = 6.24 d, t0_alert = 1.7 d
t_days,flux_rel,sigma_flux
0.000000,0.997754,0.001451
0.020833,1.003344,0.001451
0.041667,1.002374,0.001451
0.062500,1.002070,0.001451
0.083333,1.000571,0.001451
0.104167,1.000707,0.001451
0.125000,1.000375,0.001451
0.145833,0.997366,0.001451
0.166667,0.999194,0.001451
0.187500,1.001243,0.001451
0.208333,0.999573,0.001451
0.229167,1.000662,0.001451
0.250000,1.000433,0.001451
0.270833,0.999140,0.001451
0.291667,0.996669,0.001451
0.312500,0.999043,0.001451
0.333333,0.999458,0.001451
0.354167,0.997747,0.001451
0.375000,1.001163,0.001451
0.395833,0.996626,0.001451
0.416667,0.997391,0.001451
0.437500,0.999311,0.001451
0.458333,1.002045,0.001451
0.479167,1.000534,0.001451
0.500000,1.000397,0.001451
0.520833,0.996497,0.001451
0.541667,1.000990,0.001451
0.562500,1.002834,0.001451
0.583333,1.002055,0.001451
0.604167,1.003016,0.001451
0.625000,1.004814,0.001451
0.645833,1.003608,0.001451
0.666667,1.005653,0.001451
0.687500,1.005453,0.001451
0.708333,1.003597,0.001451
0.729167,1.006103,0.001451
0.750000,1.007116,0.001451
0.770833,1.008609,0.001451
0.791667,1.007968,0.001451
0.812500,1.006940,0.001451
0.833333,1.005645,0.001451
0.854167,1.002970,0.001451
0.875000,1.004600,0.001451
0.895833,1.003268,0.001451
0.916667,1.002502,0.001451
0.937500,1.005833,0.001451
0.958333,1.002278,0.001451
0.979167,1.006016,0.001451
1.000000,1.008190,0.001451
1.020833,1.003982,0.001451
1.041667,1.002204,0.001451
1.062500,1.004572,0.001451
1.083333,1.006536,0.001451
1.104167,1.005939,0.001451
1.125000,1.007939,0.001451
1.145833,1.006372,0.001451
1.166667,1.006628,0.001451
1.187500,1.008308,0.001451
1.208333,1.006890,0.001451
1.229167,1.005935,0.001451
1.250000,1.010668,0.001451
1.270833,1.005765,0.001451
1.291667,1.007413,0.001451
1.312500,1.006824,0.001451
1.333333,1.008578,0.001451
1.354167,1.008214,0.001451
1.375000,1.006531,0.001451
1.395833,1.004932,0.001451
1.416667,1.006701,0.001451
1.437500,1.005978,0.001451
1.458333,1.006002,0.001451
1.479167,1.004649,0.001451
1.500000,1.001827,0.001451
1.520833,1.005083,0.001451
1.541667,1.002967,0.001451
1.562500,1.005190,0.001451
1.583333,1.002707,0.001451
1.604167,1.008813,0.001451
1.625000,1.005941,0.001451
1.645833,1.009344,0.001451
1.666667,1.005847,0.001451
1.687500,1.005040,0.001451
1.708333,1.002737,0.001451
1.729167,1.003804,0.001451
1.750000,1.003803,0.001451
1.770833,1.003950,0.001451
1.791667,1.008234,0.001451
1.812500,1.008310,0.001451
1.833333,1.007330,0.001451
1.854167,1.006533,0.001451
1.875000,1.005819,0.001451
1.895833,1.005908,0.001451
1.916667,1.003246,0.001451
1.937500,1.004763,0.001451
1.958333,1.005924,0.001451
1.979167,1.007618,0.001451
2.000000,1.006239,0.001451
2.020833,1.008154,0.001451
2.041667,1.007712,0.001451
2.062500,1.005946,0.001451
2.083333,1.006034,0.001451
2.104167,1.009165,0.001451
2.125000,1.010148,0.001451
2.145833,1.009001,0.001451
2.166667,1.007771,0.001451
2.187500,1.006925,0.001451
2.208333,1.001640,0.001451
2.229167,1.004564,0.001451
2.250000,1.005320,0.001451
2.270833,1.004635,0.001451
2.291667,1.006395,0.001451
2.312500,1.004047,0.001451
2.333333,1.004610,0.001451
2.354167,1.005784,0.001451
2.375000,1.004390,0.001451
2.395833,1.004741,0.001451
2.416667,1.008343,0.001451
2.437500,1.005770,0.001451
2.458333,1.006862,0.001451
2.479167,1.004505,0.001451
2.500000,1.005206,0.001451
2.520833,1.004597,0.001451
2.541667,1.003593,0.001451
2.562500,1.008417,0.001451
2.583333,1.006932,0.001451
2.604167,1.007033,0.001451
2.625000,1.002953,0.001451
2.645833,1.005006,0.001451
2.666667,1.003441,0.001451
2.687500,1.004616,0.001451
2.708333,1.006745,0.001451
2.729167,1.004432,0.001451
2.750000,1.006747,0.001451
2.770833,1.009418,0.001451
2.791667,1.006143,0.001451
2.812500,1.006123,0.001451
2.833333,1.008018,0.001451
2.854167,1.004891,0.001451
2.875000,1.005078,0.001451
2.895833,1.007514,0.001451
2.916667,1.005811,0.001451
2.937500,1.005632,0.001451
2.958333,1.006937,0.001451
2.979167,1.005308,0.001451
3.000000,1.006013,0.001451
